link,title,author,published,updatedate,chapters,language,words,kudos,comments,bookmarks,hits,warning,mainship,relationship,characters,tags,summary,rating,chapter,chapter_max,completion,currentdate,datediff,classification
https://archiveofourown.org/works/46637182,All the Words I Don't Have,ohmyoverland (Blackbirdy),2023-04-21,2023-04-21,1/1,English,"2,267",125,18,5,639,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,['Lucy Carlyle/Anthony Lockwood'],"['Lucy Carlyle', 'Anthony Lockwood', 'The Skull (Lockwood & Co.)', 'George Cubbins | George Karim']","['Fluff', 'Getting Together', 'Flowers', 'POV Lucy Carlyle', 'POV Third Person', 'Gift Giving', 'Jealousy', 'Bad Poetry', ""No Beta We Die Like Lockwood's Parents"", 'No book spoilers but there is one (1) mention of Holly']",Someone sends Lucy flowers without a note. Lockwood takes it as a challenge.,General Audiences,1,1,completed,2023-04-21,0.0,oneshot
https://archiveofourown.org/works/46616701,yesterday we were just children,JennaTalbot,2023-04-20,2023-04-21,3/7,English,"9,724",48,32,5,603,Rape/Non-Con,Lucy Carlyle/Anthony Lockwood,['Lucy Carlyle/Anthony Lockwood'],"['Lucy Carlyle', 'Anthony Lockwood', 'Marissa Fittes', 'George Cubbins | George Karim', 'Flo Bones', 'Ezekiel (Lockwood & Co.)', 'Montagu Barnes']","['Major book spoilers', 'teg spoilers', 'Book 5 spoilers', 'takes place at the end of TEG', 'Canon Divergence', 'shameless blending of book and show canon', 'dead dove do not eat', 'mercenary behaviors', 'Physical Torture', 'Mental Torture', 'Involuntary Possession', 'rape/noncon', 'Vomiting', 'Panic Attacks', 'Fainting', 'Self-Loathing', 'Angst', 'Hurt/No Comfort', 'Whump', 'Consensual Sex', 'there is a happy ending i promise', 'Dystopian Vibes']","“Promise me he’ll live.""“Of course, darling,” Marissa purred. “I always keep my promises. Lockwood will live, if you say yes.”“I’ll do it,” Lucy said softly.He had thought that was the end. He’d been wrong. That had merely been the beginning, the necessary setup and context to the finale that had just played out in front of him while he lay against the cabinetry, helpless.",Explicit,3,7,incomplete,2023-04-21,0.0,multichapter(updating)
https://archiveofourown.org/works/46545298,My Little Secret,ScienceFantasy93,2023-04-16,2023-04-20,2/10,English,"5,363",134,63,10,"1,484",Creator Chose Not To Use Archive Warnings,Lucy Carlyle/Anthony Lockwood,"['Lucy Carlyle/Anthony Lockwood', 'background Holly Munro/Norrie White']","['Lucy Carlyle', 'Anthony Lockwood', 'Holly Munro', 'Norrie White']","['Porn Without Plot', 'Sort of enemies with benefits', 'sort of not', 'This is another one where Lucy and Norrie are freelance agents', 'Lucy pretends she hates Lockwood', ""But really they're fucking in secret"", 'sex on a desk', 'dirty talking', 'Masturbation', 'minor cum play', 'Lockwood is just a cum slut', 'AU', 'Oral Fixation', 'Lockwood is filthy', 'Inappropriate uses of a family heirloom', 'Semi-Public Sex']","Lucy likes to pretend that she hates Anthony Lockwood.But really, she can't get enough of him.",Explicit,2,10,incomplete,2023-04-21,1.0,multichapter(updating)
https://archiveofourown.org/works/46633966,"Fish and chips, with a cold Fanta twist.",DropsOfAddiction,2023-04-20,2023-04-20,1/1,English,"3,380",87,12,0,551,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"['Lucy Carlyle/Anthony Lockwood', 'Lucy Carlyle & Anthony Lockwood']","['Lucy Carlyle', 'Anthony Lockwood', 'Flo Bones', 'George Cubbins | George Karim', 'Quill Kipps', 'Kat Godwin']","['Protective Anthony Lockwood', 'Flirty Anthony Lockwood', 'Flirty Lucy Carlyle', 'Good Friend George Cubbins | George Karim', 'Fluff and Humor', 'Fluff', 'Breasts', 'Uncomfy bra', 'Dresses', 'lucy wears blue', 'Unresolved Romantic Tension', 'Unresolved Sexual Tension', 'cleavage', 'Undressing', 'Idiots in Love', 'POV Lucy Carlyle', 'Toast', 'Jealous Anthony Lockwood', 'hand holding', 'Fish & Chips', 'Misunderstandings', 'Locklyle', 'Sexy', 'Eye Contact', 'Friendship/Love', 'Developing Relationship', 'Anthony Lockwood Being Anthony Lockwood', 'Anthony Lockwood Being an Idiot', 'Party', 'Champagne', 'hiding in the loo', 'Teasing']","I was bored to tears, sat there like a loner, clutching my glass of champagne and I was hellishly uncomfortable too.I’d had to buy a new dress for this. Thankfully, this time Lockwood offered to pay for it, as a thank you for coming with him. The new bra that I’d been forced to get to go with it was digging mercilessly into my ribs.The dress itself was a floaty, short little number, a wrap dress, the sales assistant had called it.The bits all tied together into a bow at one side. It was a soft baby blue colour, satiny feeling and it wasn’t me at all.I suppose objectively it was very pretty. Lockwood certainly had kept staring at me in it, so I didn’t hate it as much as I wanted to. But it wasn’t a skirt and my comfy leggings, that’s for sure.",Teen And Up Audiences,1,1,completed,2023-04-21,1.0,oneshot
https://archiveofourown.org/works/46632634,the night is alive,shelly (relightthatspark),2023-04-20,2023-04-20,1/1,English,"1,355",19,2,1,123,No Archive Warnings Apply,Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood,['Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood'],['Anthony Lockwood'],"['Angst', 'Introspection', 'POV Anthony Lockwood', 'sort of kind of locklyle?', ""staring at lucy's handwriting on a tablecloth is a love language"", 'Implied/Referenced Character Death']","The night is alive, but Lockwood is silent. Stuck with an empty heart, stubbornly beating, and heavy limbs that drag him from sunset to sunset. Friends at his side that, no matter how grateful he is to have, he can never stop thinking about how and when they'll be lost.",General Audiences,1,1,completed,2023-04-21,1.0,oneshot
https://archiveofourown.org/works/46234456,You've Got Mail,spinnaker1509,2023-04-04,2023-04-20,6/9,English,"14,329",88,71,11,"1,185",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"['Lucy Carlyle/Anthony Lockwood', 'George Cubbins | George Karim & Anthony Lockwood', 'Lucy Carlyle & Holly Munro', 'Lucy Carlyle & Quill Kipps', 'Anthony Lockwood/Original Female Character(s)', 'Lucy Carlyle/Original Male Character(s)']","['Lucy Carlyle', 'Anthony Lockwood', 'George Cubbins | George Karim', 'Holly Munro', 'Quill Kipps', 'Original Characters']","['AU', 'Pen Pals', 'early 90s references', 'Enemies to Lovers', 'i guess', 'but more like business rivals to friends to lovers', 'Swearing', 'american writing brits', 'sorry - Freeform']","Lucy Carlyle, owner and operator of the landmark children's bookstore, The Shop Around the Corner, has an email pen pal she night be falling in love with. Of course, she doesn't know that her sweet, kind, caring pal is none other than Anthony Lockwood, CEO and part owner of his family company, Lockwood and Co Bookstore.And the man who is currently putting her out of business.",Teen And Up Audiences,6,9,incomplete,2023-04-21,1.0,multichapter(updating)
https://archiveofourown.org/works/46568050,Oh to Burn in Your Light,WintersBlue35,2023-04-17,2023-04-20,2/?,English,"1,857",126,15,16,870,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"['Lucy Carlyle/Anthony Lockwood', 'Lucy Carlyle & Anthony Lockwood']","['Lucy Carlyle', 'Anthony Lockwood', 'George Cubbins | George Karim']","['Hurt/Comfort', 'Emotional Hurt/Comfort', 'Fluff and Angst', 'Angst with a Happy Ending', 'Romance', 'lucy gets hurt', 'Lockwood is an idiot', 'found family has my heart']","One minute Lockwood's laughing, watching as George paces back and forth, disgruntled and grumbling about their favourite listener stealing the last of their tea, the next Lucy's falling.orLucy gets seriously injured on a mission - and George and Lockwood struggle to make peace with the idea that one day they might not all make it home.",Teen And Up Audiences,2,?,incomplete,2023-04-21,1.0,multichapter(updating)
https://archiveofourown.org/works/46546858,This Must Be the Place,manageable_maelstrom,2023-04-17,2023-04-20,2/12,English,"8,270",61,19,7,542,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,['Lucy Carlyle/Anthony Lockwood'],"['Lucy Carlyle', 'Anthony Lockwood', 'George Cubbins | George Karim', 'Holly Munro', 'Quill Kipps']","['Post-Canon', 'Developing Relationship', 'growing together', 'Canon-Typical Violence', 'Fluff and Angst', 'Death Ambivalence', 'Spoilers for the books', 'Ghost Hunting', 'Eventual Smut', 'Slow Build']","“You keep promising to die for me. Just once I wish you’d promise to live for me.”Spoilers for the books!Finding the source of a problem doesn't always mean you've solved it. After TEG, Lockwood and Co. are still combatting ghosts with their patented mix of psychic talent, iron, and good old-fashioned sarcasm. Lucy and Lockwood have started up their...relationship? But there are still old issues to resolve and new stones to turn over.orMy interpretation of how Locklyle learns to grow together, and how their emotional and physical relationship progresses.",Mature,2,12,incomplete,2023-04-21,1.0,multichapter(updating)
https://archiveofourown.org/works/46588315,The family you choose,Saccharomyces_97,2023-04-18,2023-04-20,2/?,English,"6,776",54,9,6,441,Graphic Depictions Of Violence,Lucy Carlyle/Anthony Lockwood,['Lucy Carlyle/Anthony Lockwood'],"['Lucy Carlyle', 'Anthony Lockwood', 'Original Child Character(s)', 'George Cubbins | George Karim', 'Holly Munro', 'Quill Kipps', 'Mary Carlyle']","['Established Relationship', 'Found Family', 'Future Fic', 'Aged-Up Character(s)', 'Takes place 5 years after the book canon', ""Shouldn't contain too many spoilers"", 'Implied/Referenced Child Abuse', 'Protective Anthony Lockwood', 'Protective Lucy Carlyle', 'POV Alternating', 'Past Child Death', 'Child Neglect']","When Lucy gets a letter from her estranged sister begging her to come back North to help with a ghostly problem, she doesn’t expect to meet a girl whose Talent is so similar to hers.Sadly, their stories are also very much alike: Unloved, exploited for their Talent, forced to become agents against their will way too young.But this time, Lucy won’t have it. She is not going to let another girl get traumatized in this town. She is going to protect this kid, even if she has to steal the child.____________________________or: the accidental child acquisition story no one asked for",Teen And Up Audiences,2,?,incomplete,2023-04-21,1.0,multichapter(updating)
https://archiveofourown.org/works/46626169,Homecoming is for Alumni?,FionaDunn,2023-04-20,2023-04-20,1/2,English,"3,896",44,20,5,225,Creator Chose Not To Use Archive Warnings,Lucy Carlyle/Anthony Lockwood,"['Lucy Carlyle/Anthony Lockwood', 'Lucy Carlyle & Anthony Lockwood']","['Lucy Carlyle', 'Kat Godwin', 'Anthony Lockwood', 'George Cubbins | George Karim', 'Norrie White (mentioned)', 'Jessica Lockwood (mentioned)']","['Alternate Universe - College/University', 'Alternate Universe - Modern Setting', 'Safe for Pandas', 'sfp', 'Safe For Lily', 'Safe For Work', 'sfw', 'Underage Drinking', 'frat party', 'Homecoming', 'Pre-Relationship', 'Dancing', 'Additoinal tags to be added']","Its Homecoming at Lockwood and Lucy's University. Which means its time for parties, football and unexpected run-ins with lanky upperclassmen.Technically Sequel to You're In My Nook, but can be read as a stand-alone",Teen And Up Audiences,1,2,incomplete,2023-04-21,1.0,multichapter(updating)
https://archiveofourown.org/works/45308677,"Rising, Rising",barronsfever (historyofbellarke),2023-02-25,2023-04-20,14/14,English,"4,255",412,129,27,"6,026",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,['Lucy Carlyle/Anthony Lockwood'],[],"['Lazy Mornings', 'soft', 'tied-up Lockwood', 'Drabbles', 'Miscommunication', 'Hurt/Comfort']","Series of unconnected, requested Locklyle drabbles. All request are from our discord. Updating as I write them.  Ratings vary by story. Title and chapter titles from Rising - Julia Lester, HSMTMTSRequest 1: Waking up2: Bindings/ties3: Definitely not a date4: Hurt/Comfort after Lockwood is overwhelmed by his Talent5: Bickering about mysteries6: Kissing to avoid being caught7: Toast8: ""We just went to get donuts!""9: H/C after Lucy overwhelmed by her Talent10: Soulmates show each other's injuries11: Sharing the armchair12: Touch-starved13: ""I'm arriving""14: ""On your knees""(Marked complete but taking other requests if you have them)",Not Rated,14,14,completed,2023-04-21,1.0,multichapter(complete)
https://archiveofourown.org/works/46616434,waves that will never rest,ev0lution,2023-04-20,2023-04-20,1/2,English,"6,948",92,13,12,561,Creator Chose Not To Use Archive Warnings,Lucy Carlyle/Anthony Lockwood,['Lucy Carlyle/Anthony Lockwood'],"['Lucy Carlyle', 'Anthony Lockwood', 'George Cubbins | George Karim', 'Quill Kipps', 'Holly Munro']","['Spoilers for all books', 'This series has me in a CHOKEHOLD']",Lucy and Lockwood take their time.,General Audiences,1,2,incomplete,2023-04-21,1.0,multichapter(updating)
https://archiveofourown.org/works/46616116,Just a dream?,Ren_Nakamura,2023-04-20,2023-04-20,1/1,English,234,0,0,0,53,No Archive Warnings Apply,No Romantic Relationship(s),['No Romantic Relationship(s)'],"['Lucy Carlyle', 'Anthony Lockwood', 'Holly Munro']","['No Plot/Plotless', 'Spoilers for Book 05: The Empty Grave (Lockwood & Co.)', 'Dreams and Nightmares', 'Red Room (Twin Peaks)']",Lucy Awakens from a strange dream one morning and ponders it's meaning.,General Audiences,1,1,completed,2023-04-21,1.0,oneshot
https://archiveofourown.org/works/46481659,I'll be your new favorite tune,barronsfever (historyofbellarke),2023-04-14,2023-04-19,5/?,English,"17,463",156,197,14,"1,690",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"['Lucy Carlyle/Anthony Lockwood', 'Minor or Background Relationship(s)', 'Flo Bones/George Cubbins | George Karim']","['Anthony Lockwood', 'Lucy Carlyle', 'George Cubbins | George Karim', 'Flo Bones', 'Skull - Character', 'Quill Kipps', 'Kat Godwin', 'Original Female Character(s)', 'Original Male Character(s)']","['Alternate Universe - High School', 'Alternate Universe - College/University', 'Enemies to Lovers', 'One-Sided Enemies', 'pining anthony lockwood', 'Fake/Pretend Relationship', 'Skull is a real boy', ""And he's done with everyone's shit"", ""they're all theater kids"", 'The Karims took Lockwood in', ""Yeah his family's still dead"", ""Lucy's family still sucks"", 'Gotta let the trauma kids be trauma kids', 'So many tropes', 'Two unreliable narrators try to tell a story', 'what could go wrong', 'Safe for Pandas', 'Underage Drinking', 'legal in the UK though', 'Alcohol', 'Welp this went way darker than I expected', 'Lockwood trauma dumps', 'mentions of past child abandonment']","She was a techie, he was an actor. (Can I make it any more obvious?)Actually, Lucy hated Lockwood and Lockwood had no idea why. They had worked together on a joint school musical last year, and for some reason Lucy just would not give him the time of day.Now, they're together at the same university and keep running into each other at the most inconvenient (yet serendipitous) times. What will happen when Lucy decides to enlist Lockwood's help?The answer: fake dating shenanigans, (one sided) enemies-to-lovers, theatre kid antics, and more tropes galore.Featuring: Skull the Real Boy and the rest of the Scooby Gang who tried to help Locklyle over the years and are now here to watch the world burn.Told from both Lucy's and Lockwood's POV (aka two pretty unreliable narrators)",Teen And Up Audiences,5,?,incomplete,2023-04-21,2.0,multichapter(updating)
https://archiveofourown.org/works/46608505,Just Another Normal Day...Right?,Meguran,2023-04-19,2023-04-19,6/?,English,"5,715",73,51,5,898,Creator Chose Not To Use Archive Warnings,Lucy Carlyle/Anthony Lockwood,['Lucy Carlyle/Anthony Lockwood'],"['Anthony Lockwood', 'Lucy Carlyle']","['Masturbation in Shower', 'New to this please forgive me', 'Eventual Smut', 'Pining', 'Sexual Tension']",Lockwood takes a shower and the water isn't the only thing that gets heated.,Explicit,6,?,incomplete,2023-04-21,2.0,multichapter(updating)
https://archiveofourown.org/works/46612807,Nice towel Luce…,DropsOfAddiction,2023-04-19,2023-04-19,1/1,English,"1,362",124,21,6,701,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"['Lucy Carlyle/Anthony Lockwood', 'Lucy Carlyle & Anthony Lockwood']","['Lucy Carlyle', 'Anthony Lockwood', 'George Cubbins | George Karim']","['Towels', 'streaking', 'Flirty Anthony Lockwood', 'Flirty Lucy Carlyle', 'POV Lucy Carlyle', 'Nice towel', 'happy trail', 'Scents & Smells', 'Fluff and Humor', 'Idiots in Love', 'Unresolved Romantic Tension', 'Unresolved Sexual Tension', 'Lockwood’s bum']","Lockwood was right in front of me now, so close I could count the water droplets hanging off his floppy dark hair. I huffed, frustrated.He was ridiculous and he had no idea how he affected me. I decided to give him my best glare, just because it was safer than getting caught up in a little staring match with him, save me from combusting.He honest to god laughed then, the cheek of him, so comfortable standing there, clad in just a towel in the middle of my bedroom.I punched him lightly in the chest and regretted it instantly, because he was firm and his skin felt nice, plus I was just noticing he smelled like my lavender body wash.",Teen And Up Audiences,1,1,completed,2023-04-21,2.0,oneshot
