link,title,author,published,updatedate,chapters,language,words,kudos,comments,bookmarks,hits,warning,relationship,characters,tags,summary,rating,series,chapter,chapter_max,completion,currentdate,datediff_pub,datediff,classification,lastauthorupdate,firstauthorupdate,author_lastupdate_diff,daysactive,daysincefirtupload,author_activity,num_relationship,num_characters,num_tags,prev_words,prev_hits,prev_kudos,prev_comments,prev_bookmarks
https://archiveofourown.org/works/46885396,Icarus,mliz18,2023-05-01,2023-05-01,1/1,English,"3,329",190,39,18,"1,263",No Archive Warnings Apply,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & Anthony Lockwood","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps, Montagu Barnes","Hurt/Comfort, Angst, Fluff and Angst, Fluff, Emotional Hurt/Comfort, Pre-Relationship, they're so in love and they don't even know it, Lucy Carlyle needs a hug, Mutual Pining, Found Family","""Lockwood would never keep her waiting like this, knowing she was terrified. He would never be so unkind as to let her think he was truly dead.""",Not Rated,Part 2 of Locklyle my beloved,1,1,completed,2023-06-16,46,46,oneshot,2023-06-07,2023-04-05,9,63,72,active,2,5,10,"3,329","1,219",183,39.0,18.0
https://archiveofourown.org/works/44844073,harp,d__T,2023-02-07,2023-02-07,1/1,English,895,10,6,1,180,Creator Chose Not To Use Archive Warnings,Penelope Fittes/Golden Blade,"Penelope Fittes, Golden Blade","Plot What Plot/Porn Without Plot, D/s overtones, Oral Sex, Light Humiliation",Penelope takes Golden Blade's offer and stays back in the Black Library for a little while with him.,Explicit,not a series,1,1,completed,2023-06-16,129,129,oneshot,2023-02-07,2023-02-07,129,0,129,inactive,1,2,4,895,180,10,6.0,1.0
https://archiveofourown.org/works/45893086,just keep your eyes on me,JennaTalbot,2023-03-20,2023-03-20,1/1,English,"3,071",215,22,13,"1,234",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood, Brief Appearance from an Unnamed Rotwell Agent","fluff with mild angst, Dancing, Kissing, Locklyle Week 2023, Canon Divergence: Lucy isn't as oblivious as a door knob, Day 1: Firsts","“What are you doing?” She hissed, pulling her hand out of his.“We’re at a ball. You’re in a fantastic dress, and I even broke out my good tie for the occasion. It would be a shame not to have at least one dance, don’t you think?” Lockwood was looking at her, and the childish eagerness on his face sent a pang through her heart.",Teen And Up Audiences,not a series,1,1,completed,2023-06-16,88,88,oneshot,2023-06-01,2023-02-28,15,93,108,active,1,3,6,"3,071","1,218",213,22.0,13.0
https://archiveofourown.org/works/45598954,Harmony,TheMalapert,2023-03-08,2023-03-08,1/1,English,"4,662",195,24,26,"1,178",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps","5 + 1 Things, Fluff and Angst, Canon-Typical Violence, Singing, Getting Together, First Kiss, I’m American so sorry, Requited Unrequited Love, Lucy has it bad, Singing is sexy guys","5 times Lucy hears Lockwood sing, and 1 time she sings for him.",Teen And Up Audiences,not a series,1,1,completed,2023-06-16,100,100,oneshot,2023-06-05,2023-03-06,11,91,102,active,1,4,10,"4,662","1,166",194,24.0,26.0
https://archiveofourown.org/works/46858498,Saved By the Bell: The Problem Class,Rozmund,2023-04-30,2023-05-08,4/9,English,"4,106",53,24,4,641,No Archive Warnings Apply,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & Anthony Lockwood","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps","Fluff, First Kiss, School, Fun, NO DEATH, Just for Laughs, School Dance, all night lock-in, teenage angst","What if the adults finally got their heads out of their asses and realized that the agents probably shouldn't have completely left school as very young kids? What are they supposed to do when they lose their Talent? Well now, people are finally complaining about it so our trio is forced back to high school. Whining, crushes, self-discovery, and dances await. Maybe even some kissing in the end...Canon compliant through Season 1 of the show. Not canon compliant with the books. George is George Karim.",Teen And Up Audiences,not a series,4,9,incomplete,2023-06-16,47,39,multichapter(updating),2023-05-08,2023-04-30,39,8,47,active,2,4,9,"4,106",629,51,24.0,4.0
https://archiveofourown.org/works/47262397,Jessica Lockwood’s Home for Misfit Ghost Hunters,the_one_that_fell,2023-05-18,2023-06-11,7/?,English,"19,322",156,184,19,"1,884",No Archive Warnings Apply,"Anthony Lockwood & Jessica Lockwood, Lucy Carlyle & Jessica Lockwood, Jessica Lockwood & George Cubbins, Jessica Lockwood & Flo Bones, Jessica Lockwood & Quill Kipps, Jessica Lockwood & Holly Munro, Lucy Carlyle/Anthony Lockwood, Quill Kipps/Jessica Lockwood","Jessica Lockwood, Anthony Lockwood, George Cubbins | George Karim, Lucy Carlyle, Flo Bones, Holly Munro, Quill Kipps, Gravedigger Sykes","Alternate Universe, Alternate Universe - Canon Divergence, Alternate Universe - Jessica Lives, Book Spoilers, Growing Up Together, Family Feels, Team as Family, Trauma, Amputation, Canon-Typical Violence","The night Jessica Lockwood almost died, she made a decision.",Teen And Up Audiences,not a series,7,?,incomplete,2023-06-16,29,5,multichapter(updating),2023-06-11,2015-06-30,5,2903,2908,active,8,8,10,"16,994","1,529",148,157.0,16.0
https://archiveofourown.org/works/47200708,The Waffle House Index,official_djungelskog,2023-05-15,2023-05-18,2/2,English,"6,621",22,20,1,204,No Archive Warnings Apply,"Lucy Carlyle & Anthony Lockwood, Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood, Lucy Carlyle & George Cubbins | George Karim, past Lucy Carlyle/Quill Kipps, George Cubbins | George Karim & Anthony Lockwood","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps (mentioned)","Hoosier Quill Kipps, Midwestern Lockwood & Co, Minnesotan Lucy Carlyle, Missourian Anthony Lockwood, Missourian George Karim, Excessive Use of the term ""hoosier"", author is clearly from St. Louis, american writing americans, the waffle house index, Storm Chasing, Skull is a white Jeep Wrangler, Waffle House, Warning: Set in Missouri, the biscuit rule except the trio are in the midwest and we call them cookies gosh darn it, also it's not the biscuit rule but the Beer Rule, pre-locklyle but the pining is there, Simp Anthony Lockwood, Oblivious Lucy Carlyle","""If you get there and the Waffle House is closed? That's really bad...""or: Lucy, George, and Lockwood face their worst storm yet, and Lucy gets texts from an ex.Prequel to my fic Riders on the Storm!",Teen And Up Audiences,Part 4 of Riders on the Storm,2,2,completed,2023-06-16,32,29,multichapter(complete),2023-06-13,2023-04-07,3,67,70,active,5,4,18,"6,621",189,20,20.0,1.0
https://archiveofourown.org/works/47295070,Every corner of this house is haunted,MonsterbananaTV,2023-05-20,2023-05-20,1/1,English,"1,417",117,8,6,731,Creator Chose Not To Use Archive Warnings,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood","Anthony Lockwood is a sad boy, Hurt/Comfort, Book Spoilers, I Wrote This Instead of Sleeping, i don’t know how to tag, Anthony Lockwood Needs a Hug, Anthony Lockwood Has Trauma, POV Lucy Carlyle, Takes place sometime after the events of tcs, Lockwood talks about his family, Lockwood lets Lucy in a little bit, Angst","“You don’t have to pretend around me, Lockwood. If you don’t want to tell me what’s upsetting you, you don’t have to, but at least let me make you some tea.”She turned to leave, but Lockwood grabbed her hand, gently turning her back around.“Don’t leave.” He looked at her finally and Lucy could still see tears in his eyes. “Please.”Or Lucy finds Lockwood crying and he decides to let her in just a little bit",Teen And Up Audiences,not a series,1,1,completed,2023-06-16,27,27,oneshot,2023-05-20,2023-03-23,27,58,85,active,1,2,12,"1,417",692,109,8.0,6.0
https://archiveofourown.org/works/44854114,"Head Over Heels, Always Heading to the Floor",tea_and_ransacking (yespolkadot_kitty),2023-02-07,2023-02-07,1/1,English,786,244,19,28,"2,418",No Archive Warnings Apply,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & Anthony Lockwood","Lucy Carlyle, Anthony Lockwood",,"If they do this, perhaps nothing will ever be the same again.",Teen And Up Audiences,not a series,1,1,completed,2023-06-16,129,129,oneshot,2023-03-06,2023-02-07,102,27,129,inactive,2,2,0,786,"2,402",242,19.0,28.0
https://archiveofourown.org/works/45052015,[Podfic] Flesh Wounds & Buttered Toast,mistbornhero,2023-02-14,2023-02-14,1/1,English,33,6,0,0,607,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Anthony Lockwood, Lucy Carlyle","Canon Compliant, i guess? it can take place anywhere in the canonverse, Fluff, Mild Injury, Banter, mostly buttered toast though, Podfic, Podfic Length: 0-10 Minutes",One thing about Lockwood is that he's not going to let something like a major wound stop him from buttering Lucy's toast. Podfic of Flesh Wounds & Buttered Toast by pearlcaddy.,Teen And Up Audiences,not a series,1,1,completed,2023-06-16,122,122,oneshot,2023-05-07,2023-02-14,40,82,122,active,1,2,8,33,605,6,0.0,0.0
https://archiveofourown.org/works/47173234,I've got my eye on you,Hangesextra,2023-05-14,2023-05-14,1/1,English,"3,091",37,0,1,456,Creator Chose Not To Use Archive Warnings,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & Anthony Lockwood, Flo Bones & George Cubbins | George Karim, Holly Munro/Holly Munro's Girlfriend, Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood, Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood & Holly Munro, Lucy Carlyle & George Cubbins | George Karim, Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood","George Cubbins | George Karim, Flo Bones, Lucy Carlyle, Anthony Lockwood, Quill Kipps, Holly Munro, Holly Munro's Girlfriend","Fluff, Little bit of angst, american writing brits, Anthony Lockwood Loves Lucy Carlyle, Established Relationship, These Kids Deserve Happiness, they are in love, locklyle is forever rotting in my brain, talks of healing, Spoilers For The Empty Grave, Post The Empty Grave, a very normal 35 Portland Row breakfast, trip to the London Eye, no beta we die like ned shaw, Title from a Lana Del Rey Song, hardly any plot just vibes, im trying to cope here so i bring this, small mentions of abuse if you squint","""Wait, are you being serious right now?"" Lockwood inquired, almost spitting out his tea, his tone on the verge of offended. A form of shock. ""Are you mad?!""Whomever said he could be an actor wasn't wrong. Because damn he could have. Lucy could swear he was born for the stage.""Yes. I'm very mad for the fact that I've never been on the London Eye. This is a huge emergency that must be fixed right now."" Lucy rolled her eyes. ""Who cares about cleaning up the problem when Lucy Joan Carlyle has never been on the London Eye?"" (SPOILERS, GO AWAY IF YOU HAVEN'T FINISHED THE EMPTY GRAVE AND DON'T WANT SPOILERS)Lockwood takes Lucy to the London Eye a few weeks after the events of The empty grave.",Teen And Up Audiences,not a series,1,1,completed,2023-06-16,33,33,oneshot,2023-05-14,2023-03-22,33,53,86,active,8,7,18,"3,091",430,37,0.0,1.0
https://archiveofourown.org/works/46271533,Tell Me You Love Me,Random_Nerd3,2023-04-05,2023-04-05,1/1,English,"1,768",79,9,6,672,No Archive Warnings Apply,Lucy Carlyle/George Cubbins | George Karim/Anthony Lockwood,"Lucy Carlyle, George Cubbins | George Karim, Anthony Lockwood","Jealousy, Polyamory, Polyamory Negotiations, Developing Relationship, Kissing, Boys Kissing, Jealous George Cubbins | George Karim, Simp Anthony Lockwood, they're all in love your honor, Making Up, Lucy Carlyle Just Wants To Kiss Her Boyfriends And For Them To Kiss, No Beta I Die Like Kipps' Talent, Happy Ending, Emotional Hurt/Comfort, Light Angst","In the aftermath of a case George is jealous, Lockwood doesn't understand why. Until he does.OrI want the boys to kiss and think George should get to be jealous and angry sometimes.",Teen And Up Audiences,Part 9 of Lockwood & His Collection Of Idiots,1,1,completed,2023-06-16,72,72,oneshot,2023-06-02,2023-02-09,14,113,127,active,1,3,15,"1,768",654,79,9.0,5.0
https://archiveofourown.org/works/47901025,Queen of Corpses,Chiaroscur0,2023-06-15,2023-06-15,1/10,English,"3,587",15,7,1,84,Graphic Depictions Of ViolenceRape/Non-Con,"Lucy Carlyle/Anthony Lockwood, Flo Bones/George Cubbins | George Karim","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro, Quill Kipps, Montagu Barnes, Leopold Winkman, Penelope Fittes, Sir Rupert Gale, Adam Bunchurch, Steve Rotwell, Flo Bones","established locklyle, dystopian au, dark au, GoT inspired, Murder, Blood and Violence, Gun Violence, No Smut, Book Spoilers, Aged-Up Character(s), Implied Sexual Content, Sexual Slavery","The Problem has worsened in a sudden chilling spike and swept over entire global governments with ghost-touch, leaving a power vacuum in its wake. Someone had to step up to fill it.In a dystopian future, Lockwood and Co deal with the fallout of the Calamity and seek to bring down the new self-appointed Queen, Penelope Fittes, in a modern feudalist struggle for control of the United Kingdom and a fight to return to normalcy. But with half the agency taken captive, agents dying in the struggle to keep the dead at bay, and the fate of nations at stake, can they heal and return to what they once had?",Mature,not a series,1,10,incomplete,2023-06-16,1,1,multichapter(updating),2023-06-15,2023-06-15,1,0,1,active,2,12,12,0,0,0,0.0,0.0
https://archiveofourown.org/works/47773249,Seven to Ten Business Days,lemonsharks,2023-06-10,2023-06-10,1/1,English,"1,252",31,9,4,115,No Archive Warnings Apply,George Cubbins | George Karim/Anthony Lockwood,"Anthony Lockwood, George Cubbins | George Karim","- all media types, the cabs are white and george is not, First Kiss, Getting Together, Boys Will Be Boys, (complimentary), actually happy and cute for once, Podfic Welcome, human translation welcome, no beta we die like the dead, poetic writing, because the inside of Lockwood's head is a pietic place, sometimes like swinbourne but today like max ehrmann",Lockwood thinks George is exquisite.He thinks he's gonna have to kiss him about it.,Teen And Up Audiences,not a series,1,1,completed,2023-06-16,6,6,oneshot,2023-06-10,2023-05-30,6,11,17,active,1,2,13,0,0,0,0.0,0.0
https://archiveofourown.org/works/46651936,"like life, like fury",certes,2023-04-21,2023-04-21,1/1,English,"7,606",362,62,53,"2,201",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim","five times + 1 fic, First Kiss, Pining, 5+1 Things, Season/Series 01","The first time Anthony Lockwood has the passing thought that he’d like very much to kiss Lucy Carlyle is approximately three hours after he first met her.Look, he’s not carved out of stone. It doesn’t matter that he already knows how pointless it is to chase after kites, crave an extra biscuit or an afternoon in the sun — a beautiful idea is still beautiful, and when a pretty girl walks into his flat, it’s going to cross his mind.-(A 'five times Lockwood wanted to kiss Lucy and one time he did' fic showing moments from Season 1 from Lockwood's perspective)",Teen And Up Audiences,not a series,1,1,completed,2023-06-16,56,56,oneshot,2023-05-23,2023-04-21,24,32,56,active,1,3,5,"7,606","2,134",353,60.0,51.0
https://archiveofourown.org/works/45413584,Buttered Toast,IceAngels,2023-03-01,2023-03-01,1/1,English,"2,670",202,12,19,896,No Archive Warnings Apply,Lucy Carlyle/George Cubbins | George Karim/Anthony Lockwood,"Lucy Carlyle, George Cubbins | George Karim, Anthony Lockwood","Polyamory, First Kiss, times three, Forehead Kisses, Getting Together","Technically speaking, the first kiss between the three of them was about two months before they actually got together. Or even acknowledged the feelings that had crept into through the floorboards of 35 Portland Row like a pleasant version of a haunting. (Of course, they all were well aware that there was really no such thing as a nice haunting – but it felt sort of like an apt description)Kisses from before (and after) they worked everything out and got together",Teen And Up Audiences,not a series,1,1,completed,2023-06-16,107,107,oneshot,2023-03-01,2023-02-22,107,7,114,inactive,1,3,5,"2,670",888,199,12.0,19.0
https://archiveofourown.org/works/47802628,Let Me Sleep (i am tired of my grief),FormallyLateLocklyle,2023-06-11,2023-06-11,1/1,English,"2,610",112,9,9,530,No Archive Warnings Apply,"Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood, George Cubbins | George Karim & Anthony Lockwood, Lucy Carlyle & George Cubbins | George Karim, background Lucy Carlyle/Anthony Lockwood - Relationship","George Cubbins | George Karim, Lucy Carlyle, Anthony Lockwood","platonic georcy, touch averse George Cubbins | George Karim, autistic-coded George Cubbins | George Karim, touch starved Lucy carlyle, basically she falls asleep on his shoulder and he hates it but wants to let her rest, background Locklyle, Platonic Cuddling, Hurt/Comfort, Good Friend George Cubbins | George Karim, Nightmares, Team as Family, No Spoilers","""Do you want me to try and move her towards me?"" Lockwood whispered to him, from the other side of Lucy, noticing his friend's growing discomfort, and probably also selfishly seeking her warmth as he often does.""You'll wake her"" George said, somberly and resignedly.Or: Unfortunately for George, Lucy falls asleep on his shoulder in the back of the night cab home.",General Audiences,not a series,1,1,completed,2023-06-16,5,5,oneshot,2023-06-15,2023-04-30,1,46,47,active,4,3,12,0,0,0,0.0,0.0
https://archiveofourown.org/works/45007039,"for now, it's enough",tea_and_ransacking (yespolkadot_kitty),2023-02-13,2023-02-13,1/1,English,551,116,0,9,"1,093",No Archive Warnings Apply,"Anthony Lockwood & Reader, Anthony Lockwood/Reader","Anthony Lockwood, Reader","Tumblr request, Hurt/Comfort, Angst, Sleeplessness","Tumblr request: I don't know if you take requests, but I'd love a Lockwood x reader where he's vulnerable and wants her to stay <3",General Audiences,not a series,1,1,completed,2023-06-16,123,123,oneshot,2023-03-06,2023-02-07,102,27,129,inactive,2,2,4,551,"1,075",115,0.0,9.0
