link,title,author,published,updatedate,chapters,language,words,kudos,comments,bookmarks,hits,warning,relationship,characters,tags,summary,rating,series,currentdate,datediff_pub,datediff,chapter,chapter_max,completion,classification,lastauthorupdate,firstauthorupdate,author_lastupdate_diff,daysactive,daysincefirtupload,author_activity,num_relationship,num_characters,num_tags,prev_words
https://archiveofourown.org/works/47372872,Sweet Companionship,MagicPeach,5/23/2023,5/23/2023,1-Jan,English,"1,590",193,39,14,911,No Archive Warnings Apply,General Audiences,"Lucy Carlyle, Anthony Lockwood","Tooth-Rotting Fluff, Romantic Fluff, Marriage Proposal, Implied/Referenced Child Abuse, this is so incredibly soft i don’t know what happened","Lucy’s a bit surprised by Lockwood’s drunk proposal.~*~“You’ll marry me one day, won’t you?” Lockwood asked, head heavy on her lap. “When our talents have faded, and we’re no longer special.”",General Audiences,Part 8 of The Weight of Us,5/25/2023,2,2,1,1,completed,oneshot,5/25/2023,3/17/2023,0,69,69,active,1,2,5,0
https://archiveofourown.org/works/47365840,Inheritance Games,FionaDunn,5/23/2023,5/23/2023,1/?,English,"1,117",42,15,4,321,No Archive Warnings Apply,Teen And Up Audiences,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps, Holly Munro, Original Male Character(s), Original Female Character(s)","Alternate Universe - Canon Divergence, Post - TEG, Post-Canon, Spoilers, Lockwood is rich as fuck, Safe For Work, Light Angst, Other Additional Tags to Be Added, Established Relationship, Safe for Pandas, We're doing it live.","In the years following the events The Empty Grave, Lockwood's twentieth birthday has come and gone, he's one year older but nothing changed. That is until a surprise visitor arrives at Portland Row bringing news that will change everything.",Teen And Up Audiences,not a series,5/25/2023,2,2,1,?,incomplete,multichapter(updating),5/23/2023,2/7/2023,2,105,107,active,1,7,11,0
https://archiveofourown.org/works/47365585,The Love We All Deserve,lucyjlockwood,5/23/2023,5/23/2023,1-Jan,English,"2,783",83,10,5,612,No Archive Warnings Apply,General Audiences,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, The Skull (Lockwood & Co.)","POV Anthony Lockwood, Soft Anthony Lockwood, Lucy Carlyle needs a hug, Minor Lucy Carlyle/Anthony Lockwood, Sad Lucy Carlyle, Anthony Lockwood Needs a Hug, Simp Anthony Lockwood, George Cubbins | George Karim is So Done with Lucy Carlyle/Anthony Lockwood, Anthony Lockwood Loves Lucy Carlyle, One Shot, Not Britpicked, Tooth-Rotting Fluff, Oblivious Lucy Carlyle","Lockwood walks in to Lucy having a bad day and tries to help, in the only way that he knows how: by being an absolute simp.",General Audiences,not a series,5/25/2023,2,2,1,1,completed,oneshot,5/23/2023,5/14/2023,2,9,11,active,1,4,13,0
https://archiveofourown.org/works/47361427,North,CryptidKatie,5/22/2023,5/25/2023,2/?,English,"5,086",31,16,5,191,No Archive Warnings Apply,Mature,"Lucy Carlyle, Lucy Carlyle's Mother, Lucy Carlyle's Sisters, Anthony Lockwood, George Cubbins | George Karim, Norrie White, Norrie White's Mother","Alternate Universe - Fairy Tale, Slow Burn, Friends to Lovers, Inspired by Østenfor sol og vestenfor måne | East of the Sun and West of the Moon (Fairy Tale), True Love's Kiss","A boy with a curse and a girl with the means to break it, if she can only choose the right people to trust. It sounds so much simpler when you put it like that.Loosely based on the fairy tale, East of the Sun and West of the Moon",Mature,not a series,5/25/2023,3,0,2,?,incomplete,multichapter(updating),5/25/2023,4/27/2023,0,28,28,active,1,7,5,0
https://archiveofourown.org/works/47361784,Ghost Town,Maxbodyspray,5/22/2023,5/25/2023,15-May,English,"7,718",6,2,2,95,Graphic Depictions Of Violence,Teen And Up Audiences,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps, Inspector Barnes, Flo Bones","Alternate Universe, just a warning this one has guns, and midwest-based horror, everyone acts a little bit gay, implied past norrie/lucy, lucy is the lone ranger, the fastest draw in the west, Minor Book Spoilers, Sorry guys: the slow burn is not going to be as slow as the books, cause im not writing 5 of these, The real ghosts were products of geography all along...","Her chaps were worn almost entirely through, evident of a long life of toil hard enough to soften leather and sharpen teeth. She tapped one boot nervously on the ground as she argued with Sheriff Barnes, sending a coppery spur dancing in the light. She wore a blue suede jacket missing huge swaths of fringe along the arms, as if something had taken a bite out of her.She was, by Lockwood’s reasoning, a real cowboy.Disgraced vigilante Lucy arrives in Little London after a harrowing journey on horseback, seeking asylum from her past. But local businessman Anthony Lockwood refuses to let her lie low: sensing her innate bounty-hunting skills, he enlists her to help hunt down the criminals who killed his parents. Lucy doesn't know how the heir to the local mining empire convinced her to pick up her gun again, but she soon finds herself caught in a web of secret investments, collapsing mine tunnels, and deception as dark as the long nights on the Wyoming prairie.",Teen And Up Audiences,not a series,5/25/2023,3,0,5,15,incomplete,multichapter(updating),5/25/2023,5/22/2023,0,3,3,active,1,6,11,0
https://archiveofourown.org/works/47359027,catch the last sun before it goes,the_one_that_fell,5/22/2023,5/22/2023,1-Jan,English,"3,404",53,19,1,229,No Archive Warnings Apply,Teen And Up Audiences,"Lucy Carlyle, Quill Kipps, Anthony Lockwood, Holly Munro, George Cubbins | George Karim, Danny Skinner",,"“You look like shit,” He said in lieu of a greeting.   Lucy rolled her eyes. “You know, it’s astonishing you don’t have a girlfriend.”   Kipps didn’t take the bait. “You don’t want to play that game with me, Carlyle. Why do you look like shit?”  Lucy feels directionless.",Teen And Up Audiences,Part 7 of take pride in what is sure to die,5/25/2023,3,3,1,1,completed,oneshot,5/22/2023,6/30/2015,3,2883,2886,active,1,6,0,0
https://archiveofourown.org/works/47358256,Echoes of You,RiaCarroll,5/22/2023,5/22/2023,1-Jan,English,506,54,5,4,333,No Archive Warnings Apply,General Audiences,"Lucy Carlyle, Anthony Lockwood","Angst, Angst with a Hopeful Ending, Lockwood & Co Book Series Spoilers",Lockwood's survived without Lucy by very deliberately not thinking about her....That's kind of hard to do when she shows up right in front of him on the street.,General Audiences,not a series,5/25/2023,3,3,1,1,completed,oneshot,5/22/2023,5/20/2023,3,2,5,active,1,2,3,0
https://archiveofourown.org/works/47357743,You know I'd die for you,Mycat_isEVIL,5/22/2023,5/22/2023,2-Jan,English,"2,626",17,4,0,308,Creator Chose Not To Use Archive WarningsMajor Character Death,Mature,"Lucy Carlyle, Anthony Lockwood, Julius Winkman (mentioned), George Cubbins | George Karim, Montagu Barnes","Love, Angst, Arguing, So much angst, Denial, Hurt Anthony Lockwood, Sad, Bloody Kisses, Blood and Injury, Major Character Injury, Blood Loss, Implied Sexual Content, george is trying, Ghosts, Unexpected Visitors, Anthony Lockwood Loves Lucy Carlyle, Established Relationship","She was still there, she'd come downstairs or come home soon..right?Why couldn't Lockwood accept what happened..and why did he do what he did..It was all his fault.",Mature,not a series,5/25/2023,3,3,1,2,incomplete,multichapter(updating),5/22/2023,4/6/2023,3,46,49,active,1,5,17,0
https://archiveofourown.org/works/47357278,"Darling, Let's Remember Tonight",RiaCarroll,5/22/2023,5/22/2023,3-Mar,English,"3,194",120,11,10,740,No Archive Warnings Apply,Teen And Up Audiences,"Lucy Carlyle, Anthony Lockwood","Marriage Proposal, Literally this is just three engagement fics, Fluff, SO MUCH FLUFF, Domestic Fluff","""We’re not going to ever find a solution that fits both of us. We’re going to keep bull-headedly doing whatever it takes to keep each other alive, regardless of the cost.” Lucy’s snuggling into him again; Lockwood can hear the weariness in her voice. “And that means more nights like this, whether we like it or not.”“I see the problem,” Lockwood murmurs, adjusting his hold on her so that he can run one hand through her hair.“So what do we do about it?”“We could get married.”Suddenly the air around them is thick and still, and Lucy is rigid in his arms. There’s a moment of stillness, and then she is pushing away from him, her eyes seeking his with an intensity that makes the space between them crackle with energy.“What?”",Teen And Up Audiences,not a series,5/25/2023,3,3,3,3,completed,multichapter(complete),5/22/2023,5/20/2023,3,2,5,active,1,2,5,0
https://archiveofourown.org/works/47356699,you're stuck on me like a tattoo,official_djungelskog,5/22/2023,5/22/2023,2-Jan,English,"3,000",72,30,8,323,No Archive Warnings Apply,Teen And Up Audiences,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Jessica Lockwood, Celia Lockwood, Donald Lockwood","Soulmate-Identifying Marks, Soulmates, Alternate Universe - Soulmates, Romantic Soulmates, fusion of book and tv canon again, will eventually contain spoilers for The Hollow Boy, first chapter is pre-canon, Safe For Work, Safe for Pandas, all aboard the angst train choo choo, Locklyle, no beta we die like Jessica Lockwood, author is playing it fast and loose with ages in this fic, american writing brits, spell-check is set to british english, Angst with a Happy Ending, Happy Ending","""In the year since they started communicating, Anthony’s found out that his soulmate is a girl, her favourite colour is blue, and she has six older sisters. The conversations are still rather basic at this point, but they always manage to cheer him up even a little bit. He’s taken to calling her “L,” and she calls him “Big A” to his annoyance. He’s not quite sure where she came up with that nickname. He lets her do it, though. He’d let her do anything as long as it meant she’d keep writing to him.Again, he’s six at this point, so he doesn’t think this exactly. All he knows is that nobody else in the world, not even Jessica, is allowed to call him anything other than “Anthony,” but he’ll give L a pass because she can’t know his actual name just yet. He just hopes she’ll call him “Anthony” when they finally meet in person.""Soulmates!AU two-shot where notes you write on your skin show up on your soulmate's and vice-versa.Will eventually contain spoilers for The Hollow Boy and The Creeping Shadow",Teen And Up Audiences,Part 3 of in each and every universe,5/25/2023,3,3,1,2,incomplete,multichapter(updating),5/22/2023,4/7/2023,3,45,48,active,1,6,17,0
https://archiveofourown.org/works/47356318,Popcorn and Pillow Fights,annalise_xoxo,5/22/2023,5/22/2023,1-Jan,English,"3,868",64,22,5,319,No Archive Warnings Apply,General Audiences,"Holly Munro, Anthony Lockwood, Lucy Carlyle, George Cubbins | George Karim, Holly Munro's Girlfriend, The Skull (Lockwood & Co.)","Platonic Relationships, Platonic Cuddling, Pining, Nightmares, Sleepovers, One Shot, one bed, Shared Bed, May Monthly Prompt, brief mentions of childhood trauma, Kissing, Mild Language, mentions of drinking","Holly invites Lucy over for a sleepover while her girlfriend is away. Lucy discovers the comfort of a sharing a space and a bed and admits that she wants to do the same with Lockwood, but romantically.May Prompt: 2 agents, 1 bed",General Audiences,not a series,5/25/2023,3,3,1,1,completed,oneshot,5/22/2023,4/19/2023,3,33,36,active,1,6,13,0
https://archiveofourown.org/works/47354797,"You Said You'd Open Up For Me (Well, Nothing's What it Seems to Be)",RiaCarroll,5/22/2023,5/22/2023,1-Jan,English,820,69,7,5,367,No Archive Warnings Apply,General Audiences,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim","Angst, Angst without resolution, but it's because the angst is resolved in the books so, just basically Lockwood's POV when Lucy shows up in the foyer at Aikmere Bros post-poltergeist, the hollow boy spoilers, Spoilers for the entire book series, Holly Munro and Bobby Vernon mentioned and are technically present at some point but, not really involved","Lockwood's been reluctantly icing Lucy out ever since the Wintergarden Case. It's safer that way, right?Or: When the poltergeist appears out of nowhere and destroys Aickmere Brother's and there's still no sign of Lucy, Lockwood regrets all of his life choices.",General Audiences,not a series,5/25/2023,3,3,1,1,completed,oneshot,5/22/2023,5/20/2023,3,2,5,active,1,3,8,0
https://archiveofourown.org/works/47348575,Glass Creatures,MagicPeach,5/22/2023,5/22/2023,1-Jan,English,"1,533",126,33,7,785,No Archive Warnings Apply,Teen And Up Audiences,"Anthony Lockwood, Lucy Carlyle, George Cubbins | George Karim","Domestic Fluff, Slice of Life, Established Relationship, Lockwood as the attention seeking whore we all know he is","Lockwood wants Lucy’s attention, and it’s definitely not because he’s jealous of that damn skull.Also, George has had enough.~*~She leaned to the side to look at him properly, expression happy and playful. He didn’t miss the way her eyes fell to his lips, her own appearing particularly delectable, pink and lush as they were. “Does that make me your Ophelia?”His face twisted at the suggestion, especially after the whole Annabel situation. “God, no. George is obviously my Ophelia.”",Teen And Up Audiences,Part 11 of The Weight of Us,5/25/2023,3,3,1,1,completed,oneshot,5/25/2023,3/17/2023,0,69,69,active,1,3,4,0
https://archiveofourown.org/works/47342179,I can deal with the past when it's with you,itripandfallalot,5/22/2023,5/22/2023,1-Jan,English,"1,732",105,15,6,480,No Archive Warnings Apply,Teen And Up Audiences,"Lucy Carlyle, Lucy Carlyle's Mother, Anthony Lockwood","Hugs, Emotional Hurt/Comfort, Childhood Trauma, Unresolved Romantic Tension","Lucy finally confesses her past to Lockwood, who offers her some comfort. Essentially two traumatized, touch-starved teenagers finding their way.",Teen And Up Audiences,not a series,5/25/2023,3,3,1,1,completed,oneshot,5/22/2023,5/22/2023,3,0,3,active,1,3,4,0
https://archiveofourown.org/works/47340415,pick a star on the dark horizon & follow the light,the_one_that_fell,5/22/2023,5/22/2023,1-Jan,English,"1,704",31,11,4,143,No Archive Warnings Apply,Teen And Up Audiences,"Lucy Carlyle, Quill Kipps, Anthony Lockwood","Friendship, Book Spoilers, Heart-to-Heart, Near Death Experiences, Late Night Conversations",Lucy and Kipps have a late-night talk.,Teen And Up Audiences,not a series,5/25/2023,3,3,1,1,completed,oneshot,5/22/2023,6/30/2015,3,2883,2886,active,1,3,5,0
https://archiveofourown.org/works/47334856,Double Fantasy,OctoberSeventeenth,5/21/2023,5/22/2023,2-Feb,English,"1,739",3,4,0,67,Creator Chose Not To Use Archive Warnings,Explicit,"George Cubbins | George Karim, The Skull (Lockwood & Co.), Flo Bones","Skarbones Smut, Threesome, multiple POVs, Alternate Universe - College/University, Not Safe for Pandas, NSFP, Jack the Goat is mentioned, But is not at home, Aro/Ace Skull, bi george, Poly Flo","George is in love with Skull and Flo. After talking about it in detail, the three come to a decision.Goat has to leave the house and smut ensues.",Explicit,not a series,5/25/2023,4,3,2,2,completed,multichapter(complete),5/22/2023,3/15/2023,3,68,71,active,1,3,11,0
https://archiveofourown.org/works/47337142,All my flowers grew back as thorns,official_djungelskog,5/21/2023,5/21/2023,1-Jan,English,"3,674",119,24,10,633,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Norrie White","mentions of child abuse, TW: Mentions of Child Abuse, Alternate Universe - Soulmates, Soulmate-Identifying Marks, Romantic Soulmates, Language of Flowers, Flowers, a weird fusion of tv and book canon, Not Britpicked, I set spell-check to British English that's it, Locklyle, Getting Together, One Shot, First Kiss, POV First Person, POV Lucy Carlyle, Implied/Referenced Child Abuse, Implied/Referenced Domestic Violence, Canon-Typical Violence, Spoilers for Lockwood & Co. (TV)","""Come to think of it, I don’t think any of my six older sisters ever found their soulmates, but that might have been because they were too scared to leave our hometown in search of a better, happier life. My sisters’ soulmates all had pretty normal lives, it seemed, because their skin was never marred with vibrant bouquets of flowers like mine was. The flowers faded over time, of course, save for the injuries that left scars. I once had a tiny orchid above my lip for a week before it finally faded and left behind a pale green stem.""Soulmate AU one shot where your injuries show up as flowers on your soulmate's skin, and vice-versa.Please mind the tags!",Teen And Up Audiences,Part 2 of in each and every universe,5/25/2023,4,4,1,1,completed,oneshot,5/22/2023,4/7/2023,3,45,48,active,1,4,20,0
https://archiveofourown.org/works/47336338,"Take My Hand, Hold on Forever",RiaCarroll,5/21/2023,5/21/2023,1-Jan,English,"1,013",93,9,3,435,No Archive Warnings Apply,General Audiences,"Lucy Carlyle, Anthony Lockwood","Fluff, SO MUCH FLUFF, Fluff and Spoilers, Domestic Fluff, i guess?, Because everything about post-canon locklyle is disgustingly domestic, And this is only JUST BARELY post-canon, Lockwood and Co Book Series Spoilers","Lockwood waits for Lucy by the door after inviting her for a walk and leaving her his mother's necklace without a word. Lucy shows up wearing it, and it feels like the end of one thing, and the start of something else.Or: Lockwood isn't always bad with words, but when he is, it's because he's experiencing feelings.",General Audiences,not a series,5/25/2023,4,4,1,1,completed,oneshot,5/22/2023,5/20/2023,3,2,5,active,1,2,8,0
https://archiveofourown.org/works/47335717,"I was Little, I was Weak (I was Perfect too)",FormallyLateLocklyle,5/21/2023,5/21/2023,1-Jan,English,"2,362",13,5,1,71,No Archive Warnings Apply,Teen And Up Audiences,"Lucy Carlyle, Norrie White, Lucy Carlyle's Mother","Angst, Hurt/Comfort, can I ever write Lucy's pov without angst? nope, POV Lucy Carlyle, Implied/Referenced Child Abuse, self deprication, Lucy Carlyle needs a hug, she doesn't get one here but she gets her cheek caressed, soft Norrie white, Unconditional Love","Lucy was not made to be loved. She was made to be used. To be exploited, and then to be discarded when she isn't of use. She knows this. She understands it.She doesn't understand everything that Norrie gives her so freely, without her ever actually working for it or doing anything to earn it.Or: Lucy had never experienced unconditional love, and then she met Norrie White.",Teen And Up Audiences,not a series,5/25/2023,4,4,1,1,completed,oneshot,5/21/2023,4/30/2023,4,21,25,active,1,3,10,0
https://archiveofourown.org/works/47335369,I Believe in Love (You Give Me Reason To),RiaCarroll,5/21/2023,5/21/2023,1-Jan,English,"1,666",126,8,12,595,No Archive Warnings Apply,Teen And Up Audiences,"Lucy Carlyle, Anthony Lockwood","Fluff, Kitchen Fluff, Because if they're not in the library they're in the kitchen, Self-Esteem Issues, On Lucy's Side, Lockwood & Co Book Series Spoilers","Lucy's never thought of herself as attractive, and that's fine. Prettiness isn't her profession and Lockwood loves her regardless of what she looks like, so in the end it doesn't matter.Or: Lockwood can't stand the thought of Lucy thinking she is less than anyone, for any reason.",Teen And Up Audiences,not a series,5/25/2023,4,4,1,1,completed,oneshot,5/22/2023,5/20/2023,3,2,5,active,1,2,6,0
https://archiveofourown.org/works/47335051,Yours is Enough,RiaCarroll,5/21/2023,5/21/2023,1-Jan,English,"1,392",119,7,10,529,No Archive Warnings Apply,Teen And Up Audiences,"Lucy Carlyle, Anthony Lockwood","Fluff, Library Fluff, Look they spend a lot of time in the library, It's a good place for quiet conversations or just existing together, Lockwood & Co Book Series Spoilers, Like right off the bat lol, first sentence kinda spoils the entire series so, make your informed decision now","Anthony Lockwood has always appreciated having all eyes on him, but lately there's only one person whose attention he actually wants.",Teen And Up Audiences,not a series,5/25/2023,4,4,1,1,completed,oneshot,5/22/2023,5/20/2023,3,2,5,active,1,2,8,0
https://archiveofourown.org/works/47333542,Never Go to Bed Angry,ConYamArtist (TinCanTelephone),5/21/2023,5/21/2023,1-Jan,English,"3,217",115,3,3,596,No Archive Warnings Apply,General Audiences,"Anthony Lockwood, Lucy Carlyle, George Cubbins | George Karim, Holly Munro","Sickfic, Fluff, Hurt/Comfort, Fluff and Hurt/Comfort, Vomiting, Nausea, Hospitals, Whump, Injury, Minor Injuries, Holly being the only one in possession of a brain cell, (why isn't that a tag), Post-Book 05: The Empty Grave (Lockwood & Co.), extremely minor spoilers tho","…And never ignore injuries that feel worse than they should.Or, Lockwood does both of these things and has a Very Bad Time.",General Audiences,not a series,5/25/2023,4,4,1,1,completed,oneshot,5/21/2023,4/16/2023,4,35,39,active,1,4,14,0
