,fanfic_id,link,title,published,language,summary,warning,author_id
23,47773249,https://archiveofourown.org/works/47773249,Seven to Ten Business Days,2023-06-10,English,Lockwood thinks George is exquisite.He thinks he's gonna have to kiss him about it.,No Archive Warnings Apply,752810
24,46651936,https://archiveofourown.org/works/46651936,"like life, like fury",2023-04-21,English,"The first time Anthony Lockwood has the passing thought that he’d like very much to kiss Lucy Carlyle is approximately three hours after he first met her.Look, he’s not carved out of stone. It doesn’t matter that he already knows how pointless it is to chase after kites, crave an extra biscuit or an afternoon in the sun — a beautiful idea is still beautiful, and when a pretty girl walks into his flat, it’s going to cross his mind.-(A 'five times Lockwood wanted to kiss Lucy and one time he did' fic showing moments from Season 1 from Lockwood's perspective)",No Archive Warnings Apply,17172919
25,45413584,https://archiveofourown.org/works/45413584,Buttered Toast,2023-03-01,English,"Technically speaking, the first kiss between the three of them was about two months before they actually got together. Or even acknowledged the feelings that had crept into through the floorboards of 35 Portland Row like a pleasant version of a haunting. (Of course, they all were well aware that there was really no such thing as a nice haunting – but it felt sort of like an apt description)Kisses from before (and after) they worked everything out and got together",No Archive Warnings Apply,3574944
26,47802628,https://archiveofourown.org/works/47802628,Let Me Sleep (i am tired of my grief),2023-06-11,English,"""Do you want me to try and move her towards me?"" Lockwood whispered to him, from the other side of Lucy, noticing his friend's growing discomfort, and probably also selfishly seeking her warmth as he often does.""You'll wake her"" George said, somberly and resignedly.Or: Unfortunately for George, Lucy falls asleep on his shoulder in the back of the night cab home.",No Archive Warnings Apply,7673995
27,45007039,https://archiveofourown.org/works/45007039,"for now, it's enough",2023-02-13,English,"Tumblr request: I don't know if you take requests, but I'd love a Lockwood x reader where he's vulnerable and wants her to stay <3",No Archive Warnings Apply,1697702
28,47248693,https://archiveofourown.org/works/47248693,In Her Thrall,2023-05-18,English,"Needing him meant knowing him completely, understanding that although he feared to whisper it aloud, to forge a bond between them that neither could ignore, he needed her too.More than Lucy, his asset. Or Lucy, his colleague.But as Lucy Carlyle, simple as that.And so, in the middle of the stage, before the soul of an audience lost to years and dust, she pressed her lips to his.They were cold and chapped from the dry persistence of autumn, but grew soft as she lingered.A million and one ways she’d imagined kissing Anthony Lockwood. Never had she imagined this. A single kiss, innocent and chaste, full of a fragile hope that it would be enough - that she would be enough - to bring him back from the edge of the grave.“Please,” she whispered against his mouth.Trembling from head to toe, she pulled away, awash in a tide of tingling warmth. Alternatively, the ""La Belle Dame"" case from TEG and its aftermath, but the author can't decide whether she is a hopeless romantic or is simply using this as an excuse to write all the angst. Take that as you will.",No Archive Warnings Apply,17543599
29,45319210,https://archiveofourown.org/works/45319210,An Empty Fridge: The Root Of All Evil,2023-02-25,English,"A food shop should be a simple activity conducted with minimal stress. Of course when you work for Lockwood and Co. it's anything but.Or:The reader just wants to make dinner, George Karim is a stubborn prick (we love him really), Anthony Lockwood has a proclivity for complicating things, Ghosts really need to chill out, and Flo Bones singlehandedly saves everyone's lives.",Graphic Depictions Of Violence,15986755
30,47502532,https://archiveofourown.org/works/47502532,Welcome to Lockwood and Co.,2023-05-29,English,"Pale sunlight was streaming in from one of the windows that bathed her in a golden halo, the light shining prettily on her auburn hair. She was dressed in a nice blue sweater that matched her jacket, and she looked a little … lost, her eyes scanning the room unsurely before settling on mine.I flashed her my best lopsided smile.“Hello,” I broke the silence. “I’m Anthony Lockwood.”--It has been three months since DEPRAC officially accredited Lockwood and Co., and Anthony Lockwood and George Karim are in desperate need of another agent. Unfortunately for them, all of the interviews have been ending in disasters. At least, that's the case until Lucy Carlyle comes knocking on their doors.",No Archive Warnings Apply,14206944
31,46018486,https://archiveofourown.org/works/46018486,Happy,2023-03-26,English,Just a conversation after a case.I have not read the books and only watched the TV series. Don't judge but I see them as Soulmates. It could be platonic or non-platonic depends on you.,Creator Chose Not To Use Archive Warnings,6294565
32,47279317,https://archiveofourown.org/works/47279317,I was enchanted to meet you,2023-05-19,English,"""The woman glared at him, and Lockwood realised that she looked similar to the woman in (of?) his dreams. She had the same reddish-brown hair cut at the same length, only now he could see that she had a fringe as well. It suited her, he thought to himself, as he took in the rest of her appearance. Yes, this must be her. She was wearing the same blue jumper as in his dreams, except the jumper was now covered in what appeared to be a hot drink. Shite. Lockwood braced himself for what he knew was about to come.“You bloody prick!” Yep, it was her. “I just spent six quid on this damn latte and now I’m practically wearing it!” God, he knew he should’ve insisted on a different meeting place. “Well, don’t just stand there with your mouth agape. Are you gonna buy me a new drink or not?” He really fucking hated George. “Hello? Are you even listening to me? God, what a fucking awful day.” The woman continued to glare at him, waiting for him to respond.“I am so sorry,” Lockwood said again, not sure what else he could say to this very angry yet very beautiful woman who was most definitely his soulmate and oh my God–""a Lockwood & Co modern day soulmates!AU two shot!1: Lockwood's POV2: Lucy's POV",No Archive Warnings Apply,11406523
33,47895955,https://archiveofourown.org/works/47895955,Start Again,2023-06-15,English,"“Be kind, rewind? I mean, the dating part,” Lockwood interrupted.-Lockwood and Lucy resent each other, but their friends continue trying to set them up. Lucy’s solution involves fake dating and a staged breakup.The not-so-fake feelings ensue and there is a pool party.",No Archive Warnings Apply,16639102
34,47703448,https://archiveofourown.org/works/47703448,To the Grave,2023-06-06,English,"Closely follows the events of Episode 2, ""Let Go Of Me,"" but playing with a few things: what if Lockwood was in the hospital room when Lucy woke up? What if Lucy communicated a little more about her past and saw a little bit more about what Lockwood was going through? What if we got to see a little more silliness from both of them?",Creator Chose Not To Use Archive Warnings,17736727
35,47751742,https://archiveofourown.org/works/47751742,Sorge Geist,2023-06-09,English,"After the events of The Empty Grave, Lockwood & Co have restored Portland Row and are taking cases again. But when they hear of Visitors in Vienna killing in unexpected ways, they must travel overseas to try to prevent another epidemic of the Problem forming on the Continent.",No Archive Warnings Apply,17206720
36,46420756,https://archiveofourown.org/works/46420756,Fool Me Once,2023-04-11,English,"In the aftermath of the catacombs, Lockwood gets more tests than usual at the hospital.",No Archive Warnings Apply,1765021
37,45607693,https://archiveofourown.org/works/45607693,"you, me, and herons",2023-03-09,English,"He calls her name in a bid to win her attention before she bikes completely out of sight. “Flo? …Flo! You, me, and herons! Let’s do it!""  It only takes a second or two for Flo to slow to a stop, and only a second or two more for George's eyebrows to stop knitting themselves together. He's so relieved he could float right off the ground. She hasn't turned around, but she's waiting. For him. -in which george and flo get to see the heron island from episode 1x07 and there's some light fluff along the way",No Archive Warnings Apply,16621975
38,45554884,https://archiveofourown.org/works/45554884,carefully I was going to live,2023-03-07,English,"Lockwood gets the feeling they could go back and forth like this for hours; sharing tiny, infinitesimal touches that mean more than they should, speaking the others name until it lost any previous meaning.“Will you kiss me,” he says instead, “Please?”-(Lockwood gets injured, Lucy and George patch him up, and Locklyle finally get their shit together)",No Archive Warnings Apply,4910153
39,46687885,https://archiveofourown.org/works/46687885,daylight,2023-04-23,English,"""Lucy?"" his voice was the barest of whisper.""Lockwood, I think something's wrong with me.""",No Archive Warnings Apply,9161100
40,47015452,https://archiveofourown.org/works/47015452,Close Enough to Touch,2023-05-07,English,"Lockwood had to go and get himself rained on in his white dress shirt, and she wasn't supposed to be seized with the urge to touch herself about it?",No Archive Warnings Apply,75835
41,44790955,https://archiveofourown.org/works/44790955,Thudding Pulse,2023-02-04,English,"DEPRAC have decided to utilise Lucy's capabilities, leaving her drained. Lockwood takes care of her as they get back to the house.",No Archive Warnings Apply,886409
42,46977559,https://archiveofourown.org/works/46977559,Life's a Beach,2023-05-06,English,The agents of Lockwood & Co. spend a rare day off at the beach. A harmless game in the water might turn out to be what finally reveals Lockwood and Lucy’s true feelings for each other.,No Archive Warnings Apply,12006178
43,45909337,https://archiveofourown.org/works/45909337,bar cart,2023-03-21,English,“Why are you dressed so fancy for a house party?” she asks.  “Never know when you’ll meet a pretty girl on your front porch.”,No Archive Warnings Apply,800894
44,46798210,https://archiveofourown.org/works/46798210,whatever life sends,2023-04-28,English,"“What are you—who are you?” I asked. Something like devastation crossed the woman’s pretty face; she suddenly seemed startlingly familiar. Then, a realization brought a smirk to the woman’s eyes.“Are you and Flo trying to pull the wool over my eyes again? Is this a bad prank? Because that’s enough, it’s not funny anymore—it’s not, Flo!” The woman leaned around me and called down the hall. I looked at her with wide eyes.“It’s not a—ma’am, are you alright?” I asked quietly. “Is there anyone I can call for you? Do you need a cab?”The woman’s already pale face turned white. Again, I couldn’t help but find her excruciatingly familiar. “A cab—Lucy, I live here!”***35 Portland Row receives a familiar visitor. Set between The Creeping Shadow and The Empty Grave.",Major Character Death,4166852
45,45153214,https://archiveofourown.org/works/45153214,Poison,2023-02-18,English,What if Lucy Carlyle's father was more than just an alcoholic? This is Lucy and her father throughout the years before his passing. As well as the scene with Norrie in Lucy's bedroom.,Major Character Death,3436392
46,47727196,https://archiveofourown.org/works/47727196,Only Kids After All,2023-06-08,English,"More playing with the TV show! Uses Episode 3 of the TV show, ""The Screaming Staircase,"" as a starting point and plays with a few things. I was curious how the world around them would dig into and respond to Lucy's past and how she and the boys might respond to it. I also wanted to give Lucy a bit more agency when the monks arrive and to give Ellie a bit more of a chance to a shine. Super interested in the idea of how the agency system takes advantage of kids and then forgets about them when their talents fade.",Creator Chose Not To Use Archive Warnings,17736727
47,45776386,https://archiveofourown.org/works/45776386,Those Voices,2023-03-15,English,"*BASED ON MY DESIRED REALITY! NOT ALL THINGS THAT HAPPEN IN THIS BOOK HAPPEN IN MY DR! ITS MAINLY FOR PLOT*the name, 'buchanan' should come with a warning label. Although powerful, it comes with a curse. Isadora knows that curse firsthand, with dead parents and her ghost brother.may god above keep this one safe from the trouble Lockwood and Co bring everywhere.anthony lockwoodxfem!ocmarch 2023 ->",Creator Chose Not To Use Archive Warnings,3870201
48,45263785,https://archiveofourown.org/works/45263785,exit strategy,2023-02-23,English,"Quill Kipps accepts the fact that he’s still alive for what it is: a fucking miracle.--scene filler between the catacombs and the graveyard, after the battle, featuring one Quill Kipps.",No Archive Warnings Apply,205293
49,45474079,https://archiveofourown.org/works/45474079,You can talk to me (I can? I can.),2023-03-03,English,"“You know you can talk to me, Lockwood.” His heart skipped a beat.“Yeah.. yeah I do.” And he meant it. He hadn’t known he did. Just my thoughts on what was going through Lockwood's head after they escape from Winkman's.",No Archive Warnings Apply,2146321
50,45169213,https://archiveofourown.org/works/45169213,we were built to fall apart (then fall back together),2023-02-19,English,Just a collection of one-shots that i've written about Lockwood and co/ Locklyle. Not sure how regular updates will be.Title from 'Out of the Woods' by Taylor Swift,Creator Chose Not To Use Archive Warnings,8684449
51,45477301,https://archiveofourown.org/works/45477301,Just a bunch of fic idea,2023-03-04,English,Just a bunch of fic ideamainly lucy/george/lockwood because the fandom need more fic of these three being a polyamorous disasterfeel free to use one of these ideas for your fic,Creator Chose Not To Use Archive Warnings,4791610
52,47288461,https://archiveofourown.org/works/47288461,forever winter if you go,2023-05-19,English,BIG SPOILERS FOR THE BOOKSLucy can't sleep. Lockwood has bad dreams about the night they went to The Other Side. Tittle from Taylor Swift's song 'Forever Winter' :),No Archive Warnings Apply,13724563
53,47143930,https://archiveofourown.org/works/47143930,For Good Luck,2023-05-13,English,"If Lockwood and Kipps met before the tournament, and only one of them knew who the other was. On strangers and accidents, scratches and kisses ""for good luck""",No Archive Warnings Apply,4903624
54,47080912,https://archiveofourown.org/works/47080912,Echoes Fever,2023-05-10,English,"Echoes Fever is a disease that makes an agent's abilities go haywire. And Lucy ends up stuck in bed, memories of Lockwood's younger years playing out around her.",No Archive Warnings Apply,2440594
55,47255149,https://archiveofourown.org/works/47255149,"35, Portland Row",2023-05-18,English,"It has been said 35, Portland Road is as much a character as Lucy, Lockwood or any of the gang. Here is a short poem from the house's point of view.It's set during the day, so the skull isn't mentioned.",No Archive Warnings Apply,17134330
56,46990882,https://archiveofourown.org/works/46990882,A Helping Hand,2023-05-06,English,"Five of Lockwood's acts of service for Lucy, and a time she takes care of him.",Creator Chose Not To Use Archive Warnings,877844
57,47685940,https://archiveofourown.org/works/47685940,Bags,2023-06-06,English,Lockwood and Lucy are reviewing notes for tomorrow's case. Lockwood struggles to confess his feelings to Lucy.,No Archive Warnings Apply,2524390
58,46949680,https://archiveofourown.org/works/46949680,Autumnal Afternoon Aftermath,2023-05-04,English,"Lucy wanted to be cross, but when she finally made it out the door and saw him there, waiting with raw hope and terror and just the beginnings of relief at seeing her plain on his features, she found she couldn't be.""You waited.""It had slipped out before she could think to rein in such a monumentally obvious statement, but it didn't seem possible for Lockwood to be bothered by that right now. His eyes immediately went to where the sapphire hung, just below the collar of her jumper. They softened. ""Ah."" He licked his lips nervously and offered Lucy his arm, his hands stuffed in his pockets. ""Shall we?"" Lucy took his arm and Lockwood began to walk slowly enough that she could easily keep pace.----------A possible (and extremely fluffy) way that the talk Lockwood and Lucy have immediately following where The Empty Grave leaves off.Spoilers, of course, for The Empty Grave, as well as The Hollow Boy and The Creeping Shadow.",No Archive Warnings Apply,5202485
59,46848232,https://archiveofourown.org/works/46848232,Don't You Know the Devil is  A Gentleman,2023-04-30,English,"Lockwood and George find themselves in a small town in Northern England looking to make some deals.Anything the person desires, it won't cost much just your soul.Song Fic based on Don't You Know the Devil is A Gentleman by Merci RainesLate Locklyle Week Entry - Day 6 Songs/Quotes",Creator Chose Not To Use Archive Warnings,4653566
60,45606877,https://archiveofourown.org/works/45606877,In Blue,2023-03-09,English,What better way to express your devotion to your… coworker/friend… than by changing your socks to match her dress exactly?,No Archive Warnings Apply,14523444
61,45547321,https://archiveofourown.org/works/45547321,trapped in yesterday,2023-03-06,English,"Ghost lock is often considered a form of living death, the patient left hopelessly in a coma with their prospects of recovery dim at best. When Lockwood gets ghost locked during a case, Lucy and George refuse to accept the only known consequences and tackle the problem head on.",No Archive Warnings Apply,3078813
62,47175877,https://archiveofourown.org/works/47175877,Perfectly Incandescently Happy,2023-05-14,English,"Dearest Gentlereader,   The subject that has set the ton abuzz and everyone bereft of answers may soon be coming to its conclusion yet. Naturally, I would hate to have to print any retraction however, it seems this writer, too, may have to reconsider concerning one of the more astonishing matches this season: the one between Viscount Anthony Lockwood and Ms Lucy Carlyle.   But did our handsome Lord Lockwood finally open his eyes to exactly all he had to lose at the Finchley Ball? Certainly, there can be no other reason for his interference with one of Ms Francesca Bridgerton's potential suitors. Paired with his early calling at Viscount Bridgerton's house two days after and ecstatic exit, perhaps wedding bells may be in Lord Lockwood's future after all... just not with the surely broken-hearted Ms Carlyle.  After the death of her best friend, Ms Lucy Carlyle is given the opportunity to be sponsored for the 1815 London season by Norrie's aunt. Instantly compared to the Diamond due to their astonishingly similar looks, she befriends Lord Lockwood quite unexpectedly yet is left wondering if she was a fool for believing he'd look twice at a mere country girl.",No Archive Warnings Apply,2076613
63,47502760,https://archiveofourown.org/works/47502760,I don't know how to impress anyone (And I don't want us to be just friends),2023-05-29,Українська,"Локвуд пронизаний ненавистю до себе, жалем і тугою. Він мав би думати про те, як перестати наражати своїх друзів на небезпеку, як стати кращим лідером, як привести свою агенцію до успіху, на який вона заслуговує.Натомість, все, про що він може думати - це про те, як сильно він хоче Люсі, і як він абсолютно її не заслуговує. Як він має все для неї виправити.",No Archive Warnings Apply,17455801
64,46854655,https://archiveofourown.org/works/46854655,BJÖRKSNÄS,2023-04-30,English,"Lucy and Lockwood try to build an IKEA bed. They are somewhat successful.Takes place after The Empty Grave, so mind the spoilers!Written in response to the monthly Discord prompt: An everyday moment",No Archive Warnings Apply,11406523
65,47085442,https://archiveofourown.org/works/47085442,touch me like nobody else does,2023-05-10,English,"'Oh for fuck’s sake,' a voice cut through the room. It wasn’t just in my head this time, no, it sounded like the voice was coming from the windowsill. 'I’m gone for one bloody week and this is what you two get up to?'Spoilers for TEG!A sequel to my fic ""and I can't recall the last time I was kissed.""Please mind the tags!",Creator Chose Not To Use Archive Warnings,11406523
66,45238186,https://archiveofourown.org/works/45238186,"There’s Company, and Then There’s Lucy",2023-02-22,English,A short vignette after the S1 finale.Lockwood doesn’t have to hurt alone.,Creator Chose Not To Use Archive Warnings,15120261
67,47124301,https://archiveofourown.org/works/47124301,Love on Top,2023-05-12,English,"""Lucy began running her hands up and down his body with feather-light touches, which caused him to shiver. They had left the window open to let the light breeze in, and Lockwood knew this meant he’d have to stay quiet lest the neighbours find out what the occupants of 35 Portland Row got up to when they weren’t fighting ghosts and almost getting themselves killed in the process. He was usually quite loud when Lucy took control like this; he hated giving up control and made her fight for it (within reason, of course). They had agreed, though, that tonight would be different.Lucy was going to peg him tonight, and Lockwood couldn’t wait.""happy fingers in (his) mouth friday!",No Archive Warnings Apply,11406523
68,45523675,https://archiveofourown.org/works/45523675,to be so lonely,2023-03-05,English,or what if lucy and lockwood started being distant again?,Creator Chose Not To Use Archive WarningsNo Archive Warnings Apply,3513405
69,46917877,https://archiveofourown.org/works/46917877,something like surrender,2023-05-03,English,"It’s so hot in the room that at first he can’t isolate what part of it has woken him up. As he comes back to his body slowly, the heat clarifies into two problems.Problem number one: Lucy is pressed all along his left side, face in his shoulder, her arm around his waist and one of her legs tossed over his hips.Problem number two: Lockwood is hard. Like, painfully hard. The kind of hard that would normally have him shoving his hand into his pyjama bottoms half asleep to bring himself off in three tight pulls. A solution which is nowhere near possible right now because of problem number three (there’s always extra problems when Lucy is around):Lucy’s thigh — the one slung over his legs — is pressing right against Lockwood’s cock.-(yeah, there's only one bed)",Underage,17172919
70,46042495,https://archiveofourown.org/works/46042495,I've Got Issues,2023-03-27,English,"George is absolutely done waiting on Lucy and Lockwood to see what everyone else sees. Something needs to be done. He can't take the tension any longer.Begrudgingly he asks Flo for help, and the come up with the perfect scheme: KARAOKE NIGHT! Make the bloody idiots serenade one another. What could go wrong?PURE FLUFF.",Creator Chose Not To Use Archive Warnings,1097470
71,46754485,https://archiveofourown.org/works/46754485,Feelings Unsaid and Unspoken,2023-04-26,English,"Escapril 2023 day 25: MotelAfter a quick job at a haunted motel, Lucy falls asleep in the back of a cab with the boys.",No Archive Warnings Apply,14679723
72,46880197,https://archiveofourown.org/works/46880197,The Crawlspace,2023-05-01,English,"What were the odds that the headquarters of an official, DEPRAC-registered agency would be well and truly haunted? Almost nil, right?Had to be. Lucy settles in at 35 Portland Row.",No Archive Warnings Apply,17389075
73,47173660,https://archiveofourown.org/works/47173660,an evening interlude,2023-05-14,English,"In the weird lull between cases after Bickerstaff and all the trouble around that bloody bone glass, Lucy muses, living at 35 Portland Row is a strangely domestic affair.",No Archive Warnings Apply,995699
74,46969591,https://archiveofourown.org/works/46969591,"turning heads, breaking necks",2023-05-05,English,"If pole dancing has taught Lucy anything, it’s that falling down is an unavoidable part of the learning process. It’s a two-step dance that repeats endlessly: you fall down, and get you back up. You shake out your limbs, rub over your bruises and bumps, feel for permanent damage, and once everything comes back clear, you throw yourself back into things. Once you accept that you’re going to fall every now and then, it stops being so scary.She wishes that there was a way to fall well in real life.--Lucy gets a job at Lockwood's Pole Studio and is quickly thrown into teaching classes, workplace dynamics, and preparation for a competition against the studio's main rivals, Fittes.",No Archive Warnings Apply,13870963
75,47204788,https://archiveofourown.org/works/47204788,Come Back,2023-05-15,English,"It's been a while since Lucy left Lockwood & Co to work on her own as a freelance agent. Although the agency has continued to prosper enormously, Lockwood can't help thinking about her often (with anguish mostly). Knowing that she's exposing herself to danger with other agents tortures him, but discovering that the night before she was ghost-touched makes him want to shoot himself.**The story is set at the beginning of the fourth book, excluding the Fittes case.",No Archive Warnings Apply,1730053
76,45927658,https://archiveofourown.org/works/45927658,half-minute neverland,2023-03-22,English,"“You know, I can cook, actually,” Lucy tells Lockwood once she catches him giving her a doubtful look.",No Archive Warnings Apply,4924661
77,47029501,https://archiveofourown.org/works/47029501,A Rotten Girl,2023-05-08,English,"Lucy doesn't love herself, she doesn't even like herself. She is just a ruined girl who can barely survive but is trying to.",Creator Chose Not To Use Archive Warnings,10572630
78,46929643,https://archiveofourown.org/works/46929643,I watched your hips in sacred lamplight,2023-05-03,English,"'He knew that George was mad at him, that much he could tell, yet he couldn't muster up the energy to confront it - perhaps because he was mad at himself, too. For being reckless, and distracted, and relying too much on George.He just couldn't stop thinking about Lucy.'",Creator Chose Not To Use Archive Warnings,3500457
