link,title,author,published,updatedate,chapters,language,words,kudos,comments,bookmarks,hits,warning,relationship,characters,tags,summary,rating,series,chapter,chapter_max,completion,currentdate,datediff_pub,datediff,classification,lastauthorupdate,firstauthorupdate,author_lastupdate_diff,daysactive,daysincefirtupload,author_activity,num_relationship,num_characters,num_tags,prev_words
https://archiveofourown.org/works/46981282,i'll take back the night and follow you into the light,onewildandpreciouslife,2023-05-06,2023-05-06,1/?,English,"5,521",49,8,6,406,Creator Chose Not To Use Archive Warnings,"Lucy Carlyle/Anthony Lockwood, Minor or Background Relationship(s), Anthony Lockwood & Original Female Character(s)","Anthony Lockwood, Lucy Carlyle, George Cubbins | George Karim, Quill Kipps, Original Characters","Spoilers for Lockwood & Co. (Books), mix of book and show canon, First Kiss, Pre-Canon, Post-Canon, Character Study, Slow Burn, Angst","Lockwood swore to himself that when the time was right, he’d follow her. Maybe he’d die plunging after her into the dark, but there was always a sliver of hope that one day she’d take his hand and let him walk with her in the light. Lockwood, Lucy, and the firsts that shaped them, tore them apart, and brought them back together.",Teen And Up Audiences,not a series,1,?,incomplete,2023-06-02,27.0,27.0,multichapter(updating),2023-05-06,2023-05-06,27.0,0.0,27.0,active,3,5,8,"5,521"
https://archiveofourown.org/works/46863016,Just Reckless Enough,Ordnance,2023-05-01,2023-05-07,2/?,English,"5,654",96,7,6,"1,042",No Archive Warnings Apply,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & Anthony Lockwood","Anthony Lockwood, Lucy Carlyle, George Cubbins | George Karim","Netflix just let them kiss already, George is tired of Locklye's pining, Just Reckless Enough, Anthony Lockwood Needs a Hug, Lucy Carlisle Does Too, Wait So Does George, Nevermind They All Just Need a Hug, And an Adult, Light Angst, 5+1 Things, Lockwood Just Wants Lucy to Be Safe, Author Is Sleep Deprived, Author Really Said Eff It We Ball","""Holy Shit, Lockwood.  What does he know? We have to find out-""""Yes, George, we absolutely have to. And we will.  We will figure out what's really going on.  But not till my legs work properly and it doesn't hurt every time I laugh.""Or, 5 Times Anthony Lockwood was “Just Reckless Enough” Plus 1 time he wasn’t Also, it's my first time writing these characters and I binge-watched the entire show in one night so I'm still getting a feel for these characters",General Audiences,not a series,2,?,incomplete,2023-06-02,32.0,26.0,multichapter(updating),2023-05-07,2023-05-01,26.0,6.0,32.0,active,2,3,13,"5,654"
https://archiveofourown.org/works/45450814,"and I'd roll my eyes and then you'd pull me in (I'm not much for dancing, but for you, I did)",tryalittlejoytomorrow,2023-03-02,2023-03-02,1/1,English,"4,050",356,44,56,"1,963",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood","Romance, schmoozing at a party, Flirting, Romantic Fluff, just locklyle dressed up to the nines for reasons and touching a lot, First Kiss","Lucy thinks she might just die.It's not the first time that this particular train of thought has invaded her mind - especially after the recent mayhem in Mayfair or their close encounter with a Spectre in Shoreditch. But it might just be the first time she expects to meet her end, not at the hand of a sinister spirit, but by boredom.__Lucy and Lockwood are schmoozing at a party - it's not Lucy's cup of tea. Luckily for her, Lockwood has a plan to spice things up.",Teen And Up Audiences,not a series,1,1,completed,2023-06-02,92.0,92.0,oneshot,2023-03-27,2023-03-02,67.0,25.0,92.0,inactive,1,2,6,0
https://archiveofourown.org/works/46834150,A Pair of Coots,Lindzm1318,2023-04-29,2023-04-29,1/1,English,"1,145",54,11,3,308,Creator Chose Not To Use Archive Warnings,"Flo Bones/George Cubbins | George Karim, Lucy Carlyle/Anthony Lockwood","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Flo Bones","Bird Watching, sfw, sfp, Safe For Work, Safe for Pandas, double dates, Birds on the Thames, I know nothing about birds, don't come for me, Birds, Cute, Fluffy, They're in love but don't know it, George is done, Flo is Done, lockwood is oblivious",It was requested that I do double date with Locklye and Goerge and Flo and this is the resultThere's bird watching (I googled what birds live on the Thames so ornithologists please be kind) and Locklye being oblivious so yeah enjoy!!!,Teen And Up Audiences,not a series,1,1,completed,2023-06-02,34.0,34.0,oneshot,2023-05-31,2023-02-12,2.0,108.0,110.0,active,2,4,16,"1,145"
https://archiveofourown.org/works/47569873,that’s not where you live (but maybe you could),JennaTalbot,2023-06-01,2023-06-01,1/1,English,"2,917",27,6,4,112,No Archive Warnings Apply,,"Anthony Lockwood, George Cubbins | George Karim, Lucy Carlyle","Portland Row QPR, Blanket Forts, Fluff, Only one bed twist","“Lockwood?”He frowned. Lucy must have forgotten something. He climbed out of bed and pushed open his door stopping short. If it weren’t for her voice, Lockwood would have no idea it was Lucy standing in front of him—her arms were piled full of various pillows, blankets, and her comforter.“What are you doing?” he asked with a confused laugh.Lucy poked her head out to the side so she could see Lockwood. “Grab as many soft things as you can carry, then meet me in the library.”",General Audiences,not a series,1,1,completed,2023-06-02,1.0,1.0,oneshot,2023-06-01,2023-02-28,1.0,93.0,94.0,active,0,3,4,0
https://archiveofourown.org/works/45413584,Buttered Toast,IceAngels,2023-03-01,2023-03-01,1/1,English,"2,670",196,11,19,876,No Archive Warnings Apply,Lucy Carlyle/George Cubbins | George Karim/Anthony Lockwood,"Lucy Carlyle, George Cubbins | George Karim, Anthony Lockwood","Polyamory, First Kiss, times three, Forehead Kisses, Getting Together","Technically speaking, the first kiss between the three of them was about two months before they actually got together. Or even acknowledged the feelings that had crept into through the floorboards of 35 Portland Row like a pleasant version of a haunting. (Of course, they all were well aware that there was really no such thing as a nice haunting – but it felt sort of like an apt description)Kisses from before (and after) they worked everything out and got together",Teen And Up Audiences,not a series,1,1,completed,2023-06-02,93.0,93.0,oneshot,2023-03-01,2023-02-22,93.0,7.0,100.0,inactive,1,3,5,0
https://archiveofourown.org/works/44970565,Don't Blink,AlisoneDavies,2023-02-12,2023-02-12,1/1,Français,"3,621",0,6,0,56,Graphic Depictions Of Violence,Kaz Brekker/Original Female Character(s),"Author - Character, Myself, Kaz Brekker, Original Female Character(s), Weeping Angel(s) (Doctor Who)","Post-Traumatic Stress Disorder - PTSD, Nightmares, Nightmare Fuel, Weeping Angels - Freeform, Kaz Brekker Needs a Hug, Hurt Kaz Brekker, Protective Kaz Brekker, Falling In Love, Idiots in Love, Magic, Magical Realism, Escape, Bus, Haunted Houses, Book 1: The Screaming Staircase, The Red Room, Ghosts, Blood and Injury, Tenth Doctor Era, Mentioned Tenth Doctor, Music","Deux Anges Pleureurs, un accident en bus, des Fantômes de Type 2 dans la Red Room, une foule de gens et une cachette improbable dans des combles... Pourquoi ça n'arrive toujours qu'à moi ?",Mature,Part 66 of Cauchemars en série,1,1,completed,2023-06-02,110.0,110.0,oneshot,2023-02-26,2023-02-07,96.0,19.0,115.0,inactive,1,5,21,0
https://archiveofourown.org/works/46461532,my pain fits in the palm of your freezing hand,literallyclueless24,2023-04-13,2023-04-13,1/1,English,"1,802",60,3,4,628,Creator Chose Not To Use Archive Warnings,"Lucy Carlyle & Anthony Lockwood, Lucy Carlyle & George Cubbins | George Karim, Lucy Carlyle & Holly Munro","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro","Hurt/Comfort, Protective Anthony Lockwood, they might be out of character but I tried ok, lucy and lockwood are friends (for now), One Shot, Hurt Lucy Carlyle, Holly Munro is the mum of the group","It was Lockwood, hair messy, wearing crumpled pajamas. For a second he squinted, eyes adjusting to the darkness, but then his eyes fixed on Lucy and his lips opened in shock, as surprised to see her as she was. For a moment, she forgot the throbbing that had been encompassing her body. For a moment.“Lucy? I…” he trailed off, as confused as she would have expected.“Lockwood,” she started, but she didn’t know what to say either. She was just relieved. Seeing him was a relief.OrThe scene from the creeping shadow where Lucy is injured and turns up at Portland Row, but make it more dramatic",Teen And Up Audiences,not a series,1,1,completed,2023-06-02,50.0,50.0,oneshot,2023-04-13,2023-04-13,50.0,0.0,50.0,active,3,4,7,"1,802"
https://archiveofourown.org/works/45452104,Let Your Arms Be a Place She Feels Safe In,xLoveMx,2023-03-02,2023-03-02,1/1,English,"2,430",272,11,22,"2,051",No Archive Warnings Apply,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & Anthony Lockwood","Anthony Lockwood, Lucy Carlyle, George Cubbins | George Karim","Locklyle, Fluff and Angst, 5+1 Things, they're being stupid and george knows","Five times Lockwood and Lucy accidentally fall asleep together, and that one time they don't.",Teen And Up Audiences,not a series,1,1,completed,2023-06-02,92.0,92.0,oneshot,2023-03-02,2023-02-21,92.0,9.0,101.0,inactive,2,3,4,0
https://archiveofourown.org/works/47283313,Wallflower,Thecarlylevibe,2023-05-19,2023-05-19,1/1,English,608,46,3,0,583,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro, Holly Munro's Girlfriend, Quill Kipps","Locklyle, Simp Anthony Lockwood, Attempt at Humor, they are in love, Lucy Carlyle's A+flirting, Confident Lucy Carlyle, Other Additional Tags to Be Added, How do you add more than one chapters to a fic, i'm so confused, This has multiple chapters","""Want to bet on it, Karim?""George raised his eyebrows, giving Lucy a skeptical look, and replied, ""I'll do the dishes for a week.""""And?"", Lucy asked a challenging look in her eyes.""And you can have my share of biscuits for a week."",George huffed rolling his eyes dramatically.Lucy grinned. This is going to be very, very interesting.",General Audiences,not a series,1,1,completed,2023-06-02,14.0,14.0,oneshot,2023-05-19,2023-05-17,14.0,2.0,16.0,active,1,6,10,608
https://archiveofourown.org/works/47074180,La Mariée,PiningLikeFineDining,2023-05-10,2023-05-10,1/1,English,936,65,12,2,552,Creator Chose Not To Use Archive Warnings,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & Anthony Lockwood","Lucy Carlyle, Anthony Lockwood","Sexual Content, Sexual Tension, Wedding Night, Weddings, fantasies, Nudity, Book 5 spoilers, Book 05: The Empty Grave (Lockwood & Co.), Short One Shot","It's a day Lockwood dreams of.""Anthony Lockwood knew that the pale periwinkle blue of the gown floating in his direction would be his favorite color for the rest of his life. It was no surprise to him that Lucy decided to forgo traditional white and had instead selected a blue wedding dress...""",Mature,not a series,1,1,completed,2023-06-02,23.0,23.0,oneshot,2023-06-01,2023-05-01,1.0,31.0,32.0,active,2,2,9,936
https://archiveofourown.org/works/47168512,Expendable and replaceable,Mycat_isEVIL,2023-05-14,2023-05-21,3/?,English,"14,337",53,15,5,"1,220",Creator Chose Not To Use Archive Warnings,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & Quill Kipps, Lucy Carlyle & George Cubbins | George Karim, George Cubbins | George Karim & Anthony Lockwood","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps, Montagu Barnes, Norrie White, Paul Bell (mentioned), The Skull (Lockwood & Co.)","Slow Burn, Romance, Blood and Injury, Violence, Misunderstandings, Miscommunication, Falling In Love, Angst, Fluff, Humor, Simp Anthony Lockwood, Anthony Lockwood Loves Lucy Carlyle, Lucy Carlyle needs a hug, Protective Anthony Lockwood, Jacobs & Co deserves to be set on fire, Abandonment isssues, past trauma, Lucy knows BSL, Implied/Referenced Child Abuse","Her side hurt, it hurt so much. Blood covered her hands, red. Only red. She needed help.Who was there to call? She had no one, poor little Lucy had nobody that have a fuck about her. So what if she bled out in her flat?She was extendable and replaceable.",Teen And Up Audiences,not a series,3,?,incomplete,2023-06-02,19.0,12.0,multichapter(updating),2023-06-01,2023-04-06,1.0,56.0,57.0,active,4,8,19,"14,337"
https://archiveofourown.org/works/47556925,Tales from The Library,Esaelpx7,2023-05-31,2023-06-01,2/?,English,967,12,4,1,53,No Archive Warnings Apply,"Dream of the Endless | Morpheus & Jessamy the Raven, Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood","Anthony Lockwood, Lucy Carlyle, George Cubbins | George Karim, Jessamy the Raven","Drabble, Friendship, Slice of Life","In the Library of 35 Portland Row, there resides the ghost of a raven.Drabble collection based on my The Sandman and Lockwood & Co. crossover story, ""The Hidden Basement""",General Audiences,Part 2 of The Ghostly Bird,2,?,incomplete,2023-06-02,2.0,1.0,multichapter(updating),2023-06-01,2023-02-26,1.0,95.0,96.0,active,2,4,3,0
https://archiveofourown.org/works/45709906,got me a pocket full of change,friendly_ficus,2023-03-13,2023-03-13,1/1,English,"2,855",45,4,7,167,No Archive Warnings Apply,,"Lucy Carlyle, Norrie White, Alfie Morgan, Joy Young, Paul Bell, Abraham Kosta","Developing Friendships, Canonical Character Death, Light Angst, Not Canon Compliant, because i just started this show. i refuse to read the wiki. i'm sorry., this turned out softer than i intended but the setting is so heavy maybe it's better this way, Underage Drinking, not a lot but a little., Too Many Songs Quoted. this fic feels like it has background music.","Her uniform belongs to a dead boy. They make them with extra material so the seams can be let out as agents grow. It’s efficient; Lucy spends two years in the same coat, lengthening the sleeves bit by bit.She gets used to it, and gets used to the work. She even gets used to the people.",Teen And Up Audiences,not a series,1,1,completed,2023-06-02,81.0,81.0,oneshot,2023-03-13,2023-03-13,81.0,0.0,81.0,inactive,0,6,9,0
https://archiveofourown.org/works/46160227,The First-Name Basis,Kitsune511,2023-04-01,2023-04-01,1/1,English,"2,233",43,2,3,335,No Archive Warnings Apply,"Lucy Carlyle/Quill Kipps, Lucy Carlyle & Quill Kipps, Past:, Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & The Skull, Lucy Carlyle & George Cubbins | George Karim, Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood","Lucy Carlyle, Quill Kipps, Everyone else is just mentioned - Character","American writing for British characters, im sure it’s obvious to any actual British people, POSSIBLE SPOILERS FOR THE BOOKS, mostly show-canon though, except for Holly, basically it’s the show because I’m using Karim instead of Cubbins, sorry in advance, i know it’s short, but i just needed to get this out there, most likely slightly ooc, sorry - Freeform, unavoidable for such a short version of this plot",Lucy has nowhere to go after leaving Lockwood and Co.Or so she thinks.,General Audiences,Part 2 of Unlikely Love Series,1,1,completed,2023-06-02,62.0,62.0,oneshot,2023-05-02,2023-04-01,31.0,31.0,62.0,active,7,3,12,0
https://archiveofourown.org/works/46946884,The Hidden Basement,Esaelpx7,2023-05-04,2023-05-09,2/2,English,"2,638",38,15,7,246,No Archive Warnings Apply,"Dream of the Endless | Morpheus & Jessamy the Raven, Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood","Anthony Lockwood, George Cubbins | George Karim, Lucy Carlyle, Jessamy the Raven, Dream of the Endless | Morpheus","casefic, Ghosts, Haunted Houses, No Spoilers, No Fandom Knowledge Needed, I'll explain each shows premise in the notes, Minor Character Death, Offscreen and Pre-Story","Dream has been freed, but something still remains in the basement.Years later, three psychic agents are called to investigate the newly sold Burgess Estate.",General Audiences,Part 1 of The Ghostly Bird,2,2,completed,2023-06-02,29.0,24.0,multichapter(complete),2023-06-01,2023-02-26,1.0,95.0,96.0,active,2,5,8,"2,638"
https://archiveofourown.org/works/46973182,"I'll do anything you say, if you say it with your hands",canine_rosebud,2023-05-05,2023-05-05,1/1,English,"3,232",135,6,4,"1,277",Underage,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood",Fluff and Smut,"Lockwood insists on spending the night with Lucy, to make sure she doesn't show signs of a concussion. Sharing a bed can be professional, right?Smut with feelings. (I've only seen the show, so TV canon compliant).",Explicit,not a series,1,1,completed,2023-06-02,28.0,28.0,oneshot,2023-05-05,2023-05-05,28.0,0.0,28.0,active,1,2,1,0
https://archiveofourown.org/works/47335051,Yours is Enough,RiaCarroll,2023-05-21,2023-05-21,1/1,English,"1,392",130,7,11,608,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood","Fluff, Library Fluff, Look they spend a lot of time in the library, It's a good place for quiet conversations or just existing together, Lockwood & Co Book Series Spoilers, Like right off the bat lol, first sentence kinda spoils the entire series so, make your informed decision now","Anthony Lockwood has always appreciated having all eyes on him, but lately there's only one person whose attention he actually wants.",Teen And Up Audiences,not a series,1,1,completed,2023-06-02,12.0,12.0,oneshot,2023-05-22,2023-05-20,11.0,2.0,13.0,active,1,2,8,"1,392"
https://archiveofourown.org/works/47394868,Bet Your Love on Me,greywitchy,2023-05-24,2023-05-26,4/4,English,"6,325",13,9,1,167,No Archive Warnings Apply,"Anthony Lockwood/Quill Kipps, Lucy Carlyle/The Skull","Quill Kipps, Lucy Carlyle, Anthony Lockwood, The Skull (Lockwood & Co.), George Cubbins | George Karim, Holly Munro","Love Confessions, Crushes, Awkward Flirting, Fluff, Domestic Fluff, Fluff and Humor, Pre-Relationship, Oblivious","""Bet I kiss him first?"" suggests Lockwood out of the blue.""I don't want to kiss Kipps,"" reminds Lucy.""No. Bet I can kiss my crush before you kiss yours?"" he explains.""You're on.""And so starts their bet of who's kissing who first: Lockwood – Kipps, or Lucy – the Skull",General Audiences,not a series,4,4,completed,2023-06-02,9.0,7.0,multichapter(complete),2023-05-26,2023-05-12,7.0,14.0,21.0,active,2,6,8,"3,761"
https://archiveofourown.org/works/45753532,why are either of you still awake,chronicmedisorder,2023-03-14,2023-03-14,1/1,English,"1,080",68,5,5,452,No Archive Warnings Apply,George Cubbins | George Karim/Anthony Lockwood,"Anthony Lockwood, George Cubbins | George Karim","Pre-Relationship, Developing Relationship, Hurt/Comfort, Emotional Hurt/Comfort, Emotionally Repressed Anthony Lockwood, lockwood snaps george out of a hyperfixation spiral and then they sleep together (literally), please be nice to me this is my first fic :///, Pining, this is also definately cot3 but that is not important to the plot",George is up late researching a case. Lockwood needs comfort. Fluff ensues.,General Audiences,not a series,1,1,completed,2023-06-02,80.0,80.0,oneshot,2023-03-14,2023-03-14,80.0,0.0,80.0,inactive,1,2,9,0
